source	target	weight	edge_sample	edge_color
Acinetobacter parvus	Acetobacter okinawensis	0.816197004113	R_Retroauricular_crease	#9efaa2
Acinetobacter soli	Acinetobacter parvus	0.816197004113	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. Ag2	Acetobacter okinawensis	0.816197004113	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. Ag2	Acinetobacter parvus	1.0	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. Ag2	Acinetobacter soli	0.816197004113	R_Retroauricular_crease	#9efaa2
Acinetobacter sp. VT 511	Acinetobacter sp. MII	1.0	Anterior_nares	#8000ff
Acinetobacter ursingii	Acinetobacter bereziniae	0.912535253147	R_Retroauricular_crease	#9efaa2
Actinomyces johnsonii	Actinomyces gerencseriae	0.834822919192	Subgingival_plaque	#feb562
Actinomyces sp. ICM47	Actinomyces graevenitzii	0.913003714249	Tongue_dorsum	#ff3219
Actinomyces sp. ICM54	Actinomyces sp. HPA0247	0.874114907353	Tongue_dorsum	#ff3219
Actinomyces sp. ICM58	Actinomyces sp. HPA0247	0.835589320925	Tongue_dorsum	#ff3219
Actinomyces sp. oral taxon 171	Actinomyces naeslundii	0.835128231701	Supragingival_plaque	#ff8e4a
Actinomyces sp. oral taxon 172	Actinomyces sp. ICM58	0.899151777822	Tongue_dorsum	#ff3219
Actinomyces sp. oral taxon 175	Actinomyces johnsonii	0.872289554237	Mixed	#cccccc
Actinomyces sp. oral taxon 175	Actinomyces oris	0.847771262228	Supragingival_plaque	#ff8e4a
Actinomyces sp. oral taxon 181	Actinomyces sp. HPA0247	0.844572364865	Tongue_dorsum	#ff3219
Actinomyces sp. ph3	Actinomyces sp. HPA0247	0.825114264487	Tongue_dorsum	#ff3219
Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	0.892610084625	Tongue_dorsum	#ff3219
Actinomyces sp. S4-C9	Acinetobacter sp. NIPH 817	1.0	Anterior_nares	#8000ff
Actinomyces sp. S6-Spd3	Actinomyces sp. ICM47	0.850420658204	Tongue_dorsum	#ff3219
Actinomyces vaccimaxillae	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
Actinomyces viscosus	Actinomyces johnsonii	0.839532924666	Mixed	#cccccc
Actinomyces viscosus	Actinomyces oris	0.847694108123	Mixed	#cccccc
Actinomyces viscosus	Actinomyces sp. oral taxon 175	0.87081797666	Mixed	#cccccc
Advenella kashmirensis	Acinetobacter sp. CIP 101966	0.816197004113	Mixed	#cccccc
Advenella kashmirensis	Actinomyces europaeus	0.816197004113	Anterior_nares	#8000ff
Aeromonas rivuli	Aerococcus urinae	1.0	Anterior_nares	#8000ff
Aeromonas sanarellii	Acinetobacter tjernbergiae	1.0	Anterior_nares	#8000ff
Afipia sp. P52-10	Aeromonas media	1.0	L_Retroauricular_crease	#1fd3e1
Agrobacterium albertimagni	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
Agrobacterium sp. LC34	Afipia clevelandensis	0.816197004113	Anterior_nares	#8000ff
Aliihoeflea sp. 2WW	Acinetobacter parvus	0.86570742125	R_Retroauricular_crease	#9efaa2
Aliihoeflea sp. 2WW	Acinetobacter sp. Ag2	0.86570742125	R_Retroauricular_crease	#9efaa2
Aliihoeflea sp. 2WW	Acinetobacter ursingii	0.815896436355	R_Retroauricular_crease	#9efaa2
Aliivibrio salmonicida	Actinoplanes rectilineatus	1.0	Anterior_nares	#8000ff
Alistipes onderdonkii	Alistipes finegoldii	0.911189178383	Stool	#ded579
Alistipes putredinis	Alistipes obesi	0.846446942108	Stool	#ded579
Alistipes senegalensis	Alistipes finegoldii	0.921085863829	Stool	#ded579
Alistipes senegalensis	Alistipes onderdonkii	0.918621785994	Stool	#ded579
Alistipes shahii	Alistipes finegoldii	0.836550839495	Stool	#ded579
Alistipes shahii	Alistipes obesi	0.843048316933	Stool	#ded579
Alistipes shahii	Alistipes onderdonkii	0.838534651807	Stool	#ded579
Alistipes shahii	Alistipes putredinis	0.863748191849	Stool	#ded579
Alistipes shahii	Alistipes senegalensis	0.832722827498	Stool	#ded579
Alistipes sp. AL-1	Alistipes finegoldii	0.886855648192	Stool	#ded579
Alistipes sp. AL-1	Alistipes onderdonkii	0.888164225756	Stool	#ded579
Alistipes sp. AL-1	Alistipes senegalensis	0.905888980455	Stool	#ded579
Alistipes sp. HGB5	Alistipes finegoldii	0.901952817624	Stool	#ded579
Alistipes sp. HGB5	Alistipes onderdonkii	0.907621735177	Stool	#ded579
Alistipes sp. HGB5	Alistipes senegalensis	0.90806961911	Stool	#ded579
Alistipes sp. HGB5	Alistipes sp. AL-1	0.898773687801	Stool	#ded579
Alistipes timonensis	Alistipes finegoldii	0.880417347545	Stool	#ded579
Alistipes timonensis	Alistipes onderdonkii	0.890335692147	Stool	#ded579
Alistipes timonensis	Alistipes senegalensis	0.90806961911	Stool	#ded579
Alistipes timonensis	Alistipes sp. AL-1	0.912270866786	Stool	#ded579
Alistipes timonensis	Alistipes sp. HGB5	0.909899205925	Stool	#ded579
Anoxybacillus tepidamans	Acinetobacter sp. NIPH 899	1.0	Anterior_nares	#8000ff
Arthrobacter sp. AK-YN10	Actinoplanes sp. SE50/110	1.0	Anterior_nares	#8000ff
Arthrobacter sp. L77	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
Arthrobacter sp. L77	Agrobacterium albertimagni	1.0	Anterior_nares	#8000ff
Atopobium sp. BS2	Actinomyces sp. HPA0247	0.840396522386	Mixed	#cccccc
Atopobium sp. BS2	Actinomyces sp. ICM58	0.874534734793	Mixed	#cccccc
Atopobium sp. BS2	Actinomyces sp. oral taxon 181	0.82526074118	Mixed	#cccccc
Atopobium sp. ICM42b	Actinomyces sp. HPA0247	0.855881899525	Mixed	#cccccc
Atopobium sp. ICM42b	Actinomyces sp. ICM58	0.863635886881	Mixed	#cccccc
Atopobium sp. ICM42b	Actinomyces sp. oral taxon 172	0.830182082213	Mixed	#cccccc
Atopobium sp. ICM42b	Actinomyces sp. ph3	0.824165988953	Mixed	#cccccc
Atopobium sp. ICM42b	Atopobium sp. BS2	0.925464007033	Saliva	#beec8e
Atopococcus tabaci	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
Atopococcus tabaci	Actinomyces vaccimaxillae	1.0	Anterior_nares	#8000ff
Aurantimonas coralicida	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
Aurantimonas coralicida	Actinomyces vaccimaxillae	1.0	Anterior_nares	#8000ff
Aurantimonas coralicida	Atopococcus tabaci	1.0	Anterior_nares	#8000ff
Azonexus hydrophilus	Aromatoleum aromaticum	1.0	Buccal_mucosa	#425ffa
Bacillus mycoides	Aminiphilus circumscriptus	1.0	L_Retroauricular_crease	#1fd3e1
Bacillus nealsonii	Bacillaceae bacterium MTCC 8252	1.0	Anterior_nares	#8000ff
Bacillus sp. X1(2014)	Azotobacter vinelandii	1.0	R_Retroauricular_crease	#9efaa2
Bacillus velezensis	Acinetobacter sp. NIPH 899	1.0	Anterior_nares	#8000ff
Bacillus velezensis	Anoxybacillus tepidamans	1.0	Anterior_nares	#8000ff
Bacteroides acidifaciens	Alistipes senegalensis	0.83384063242	Stool	#ded579
Bacteroides acidifaciens	Alistipes timonensis	0.828359769824	Stool	#ded579
Bacteroides dorei	Alistipes finegoldii	0.828034900574	Stool	#ded579
Bacteroides dorei	Alistipes onderdonkii	0.837887910596	Stool	#ded579
Bacteroides dorei	Alistipes senegalensis	0.863927951103	Stool	#ded579
Bacteroides dorei	Alistipes sp. AL-1	0.81741839361	Stool	#ded579
Bacteroides faecichinchillae	Bacteroides acidifaciens	0.834157056239	Stool	#ded579
Bacteroides ovatus	Alistipes onderdonkii	0.818136216342	Stool	#ded579
Bacteroides ovatus	Alistipes senegalensis	0.843969531334	Stool	#ded579
Bacteroides ovatus	Bacteroides acidifaciens	0.829757581544	Stool	#ded579
Bacteroides ovatus	Bacteroides dorei	0.894859980331	Stool	#ded579
[Bacteroides] pectinophilus	Alistipes timonensis	0.833765094223	Stool	#ded579
Bacteroides sartorii	Alistipes senegalensis	0.838370558232	Stool	#ded579
Bacteroides sartorii	Alistipes sp. AL-1	0.822289673552	Stool	#ded579
Bacteroides sartorii	Alistipes timonensis	0.842323610369	Stool	#ded579
Bacteroides sartorii	Bacteroides acidifaciens	0.832876886464	Stool	#ded579
Bacteroides sartorii	Bacteroides dorei	0.831969285847	Stool	#ded579
Bacteroides sartorii	Bacteroides faecichinchillae	0.834997021295	Stool	#ded579
Bacteroides sp. 1_1_30	Bacteroides ovatus	0.817603583309	Stool	#ded579
Bacteroides sp. 2_2_4	Alistipes senegalensis	0.830752625945	Stool	#ded579
Bacteroides sp. 2_2_4	Bacteroides acidifaciens	0.836937658022	Stool	#ded579
Bacteroides sp. 2_2_4	Bacteroides dorei	0.828113121945	Stool	#ded579
Bacteroides sp. 2_2_4	Bacteroides ovatus	0.835682663494	Stool	#ded579
Bacteroides sp. 2_2_4	Bacteroides sp. 1_1_30	0.831854969158	Stool	#ded579
Bacteroides sp. 3_1_13	Bacteroides sp. 2_2_4	0.834645310098	Stool	#ded579
Bacteroides sp. 3_1_33FAA	Alistipes senegalensis	0.83628243892	Stool	#ded579
Bacteroides sp. 3_1_33FAA	Alistipes timonensis	0.844784971861	Stool	#ded579
Bacteroides sp. 3_1_33FAA	Bacteroides acidifaciens	0.853411475321	Stool	#ded579
Bacteroides sp. 3_1_33FAA	Bacteroides dorei	0.842143820718	Stool	#ded579
Bacteroides sp. 3_1_33FAA	Bacteroides ovatus	0.82750094957	Stool	#ded579
Bacteroides sp. 3_1_33FAA	Bacteroides sartorii	0.844784971861	Stool	#ded579
Bacteroides sp. 3_1_33FAA	Bacteroides sp. 2_2_4	0.835061803763	Stool	#ded579
