source	target	weight	edge_sample	edge_color
Acidovorax sp. JS42	Acidovorax ebreus	1.0	Buccal_mucosa	#425ffa
Acinetobacter johnsonii	Acidovorax delafieldii	0.843055682849	Anterior_nares	#8000ff
Acinetobacter junii	Acidovorax ebreus	0.942816406328	Mixed	#cccccc
Acinetobacter junii	Acidovorax sp. JS42	0.942816406328	Mixed	#cccccc
Actinomyces dentalis	Abiotrophia defectiva	0.94632891554	Mixed	#cccccc
Actinomyces gerencseriae	Abiotrophia defectiva	0.952044737832	Mixed	#cccccc
Actinomyces gerencseriae	Actinobaculum sp. oral taxon 183	0.817979802508	Subgingival_plaque	#feb562
Actinomyces gerencseriae	Actinomyces dentalis	0.947931269951	Subgingival_plaque	#feb562
Actinomyces johnsonii	Abiotrophia defectiva	0.858617039227	Mixed	#cccccc
Actinomyces johnsonii	Actinobaculum sp. oral taxon 183	0.819795677739	Subgingival_plaque	#feb562
Actinomyces johnsonii	Actinomyces gerencseriae	0.947931269951	Subgingival_plaque	#feb562
Actinomyces massiliensis	Abiotrophia defectiva	0.920219908012	Mixed	#cccccc
Actinomyces massiliensis	Actinobaculum sp. oral taxon 183	0.835805647941	Mixed	#cccccc
Actinomyces massiliensis	Actinomyces dentalis	0.95251738278	Mixed	#cccccc
Actinomyces massiliensis	Actinomyces gerencseriae	0.94072074092	Mixed	#cccccc
Actinomyces massiliensis	Actinomyces johnsonii	0.830959830441	Mixed	#cccccc
Actinomyces naeslundii	Abiotrophia defectiva	0.93679762728	Mixed	#cccccc
Actinomyces naeslundii	Actinobaculum sp. oral taxon 183	0.873155296011	Mixed	#cccccc
Actinomyces naeslundii	Actinomyces dentalis	0.933291033708	Mixed	#cccccc
Actinomyces naeslundii	Actinomyces gerencseriae	0.984555593103	Mixed	#cccccc
Actinomyces naeslundii	Actinomyces johnsonii	0.933291033708	Mixed	#cccccc
Actinomyces naeslundii	Actinomyces massiliensis	0.941251993035	Supragingival_plaque	#ff8e4a
Actinomyces neuii	Actinomyces graevenitzii	0.85351191103	Mixed	#cccccc
Actinomyces odontolyticus	Actinomyces israelii	1.0	Mixed	#cccccc
Actinomyces oris	Abiotrophia defectiva	0.850995010775	Mixed	#cccccc
Actinomyces sp. ICM47	Actinomyces graevenitzii	0.912837710585	Tongue_dorsum	#ff3219
Actinomyces sp. ICM47	Actinomyces neuii	0.928518887275	Mixed	#cccccc
Actinomyces turicensis	Actinomyces sp. SD1	1.0	Mixed	#cccccc
Aggregatibacter sp. oral taxon 458	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
Alcaligenes faecalis	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
Alistipes obesi	Akkermansia muciniphila	0.93286075776	Stool	#ded579
Alistipes onderdonkii	Akkermansia muciniphila	0.954248741572	Stool	#ded579
Alistipes onderdonkii	Alistipes obesi	0.896307341592	Stool	#ded579
Alistipes senegalensis	Acidovorax ebreus	0.881825749014	Mixed	#cccccc
Alistipes senegalensis	Acidovorax sp. JS42	0.881825749014	Mixed	#cccccc
