TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax sp. JS42	Buccal_mucosa	#425ffa	1	1.0	4.0	#6c1fff	#3079f7
Acinetobacter johnsonii	Anterior_nares	#8000ff	5	22.0	3.0	#ff5f30	#445cfb
Acinetobacter junii	Anterior_nares	#8000ff	3	1.0	4.0	#6c1fff	#3079f7
Actinomyces dentalis	Subgingival_plaque	#feb562	2	7.0	0.0	#0fc4e7	#8000ff
Actinomyces gerencseriae	Subgingival_plaque	#feb562	2	7.0	0.0	#0fc4e7	#8000ff
Actinomyces johnsonii	Subgingival_plaque	#feb562	2	7.0	0.0	#0fc4e7	#8000ff
Actinomyces massiliensis	Supragingival_plaque	#ff8e4a	6	7.0	0.0	#0fc4e7	#8000ff
Actinomyces naeslundii	Supragingival_plaque	#ff8e4a	3	7.0	0.0	#0fc4e7	#8000ff
Actinomyces neuii	Posterior_fornix	#7effb5	12	6.0	5.0	#06aeed	#1996f3
Actinomyces odontolyticus	Throat	#ff6232	1	3.0	6.0	#445cfb	#06aeed
Actinomyces oris	Supragingival_plaque	#ff8e4a	7	7.0	0.0	#0fc4e7	#8000ff
Actinomyces sp. ICM47	Tongue_dorsum	#ff3219	8	6.0	5.0	#06aeed	#1996f3
Actinomyces turicensis	Anterior_nares	#8000ff	2	24.0	8.0	#ff2211	#22d6e0
Aggregatibacter sp. oral taxon 458	Saliva	#beec8e	1	10.0	7.0	#4df3ce	#0fc4e7
Alcaligenes faecalis	Anterior_nares	#8000ff	1	16.0	3.0	#c6e789	#445cfb
Alistipes obesi	Stool	#ded579	9	11.0	10.0	#60fac5	#4df3ce
Alistipes onderdonkii	Stool	#ded579	4	11.0	10.0	#60fac5	#4df3ce
Alistipes senegalensis	Stool	#ded579	4	1.0	4.0	#6c1fff	#3079f7
Alistipes shahii	Stool	#ded579	22	1.0	4.0	#6c1fff	#3079f7
Alistipes sp. AL-1	Stool	#ded579	2	11.0	10.0	#60fac5	#4df3ce
Alistipes sp. HGB5	Stool	#ded579	2	11.0	10.0	#60fac5	#4df3ce
Alistipes timonensis	Stool	#ded579	1	11.0	10.0	#60fac5	#4df3ce
Alloiococcus otitis	Anterior_nares	#8000ff	2	16.0	3.0	#c6e789	#445cfb
Alloprevotella tannerae	Subgingival_plaque	#feb562	2	11.0	10.0	#60fac5	#4df3ce
Anaerococcus provenciensis	L_Retroauricular_crease	#1fd3e1	3	22.0	3.0	#ff5f30	#445cfb
Anaerococcus vaginalis	L_Retroauricular_crease	#1fd3e1	1	18.0	2.0	#eec66d	#583efd
Arcanobacterium sp. S3PF19	L_Retroauricular_crease	#1fd3e1	1	15.0	11.0	#b2f396	#60fac5
Atopobium parvulum	Saliva	#beec8e	2	6.0	5.0	#06aeed	#1996f3
Atopobium sp. BS2	Saliva	#beec8e	2	6.0	5.0	#06aeed	#1996f3
Atopobium sp. ICM42b	Saliva	#beec8e	1	6.0	5.0	#06aeed	#1996f3
bacterium LF-3	Stool	#ded579	1	16.0	3.0	#c6e789	#445cfb
Bacteroides caccae	Stool	#ded579	29	11.0	10.0	#60fac5	#4df3ce
