TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax sp. JS42	Buccal_mucosa	#425ffa	1	15.0	3.0	#2ddedc	#5e35fe
Actinomyces gerencseriae	Subgingival_plaque	#feb562	2	23.0	0.0	#8bfeae	#8000ff
Actinomyces johnsonii	Subgingival_plaque	#feb562	2	23.0	0.0	#8bfeae	#8000ff
Actinomyces massiliensis	Supragingival_plaque	#ff8e4a	6	4.0	4.0	#5247fc	#5247fc
Actinomyces naeslundii	Supragingival_plaque	#ff8e4a	3	23.0	0.0	#8bfeae	#8000ff
Actinomyces odontolyticus	Throat	#ff6232	1	4.0	6.0	#5247fc	#3c68f9
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8e4a	4	3.0	0.0	#5e35fe	#8000ff
Actinomyces turicensis	Anterior_nares	#8000ff	2	35.0	12.0	#ff9b52	#0ac0e8
Actinomyces viscosus	Attached	#622ffe	5	3.0	0.0	#5e35fe	#8000ff
Aggregatibacter sp. oral taxon 458	Saliva	#beec8e	1	7.0	10.0	#3079f7	#0ea5ef
Alcaligenes faecalis	Anterior_nares	#8000ff	1	42.0	11.0	#ff2613	#01b3ec
Alistipes sp. HGB5	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
Alloiococcus otitis	Anterior_nares	#8000ff	2	19.0	2.0	#5df9c7	#6a22fe
Alloprevotella tannerae	Subgingival_plaque	#feb562	2	32.0	14.0	#f2c26b	#22d6e0
Anaerococcus provenciensis	L_Retroauricular_crease	#1fd3e1	3	19.0	2.0	#5df9c7	#6a22fe
Anaerococcus vaginalis	L_Retroauricular_crease	#1fd3e1	1	12.0	1.0	#0ac0e8	#7610ff
Arcanobacterium sp. S3PF19	L_Retroauricular_crease	#1fd3e1	1	30.0	17.0	#dbd87b	#44eed2
Atopobium sp. BS2	Saliva	#beec8e	2	13.0	19.0	#17cbe4	#5df9c7
Atopobium sp. ICM42b	Saliva	#beec8e	1	44.0	9.0	#ff0000	#1898f2
Bacillus thermoamylovorans	Anterior_nares	#8000ff	3	19.0	2.0	#5df9c7	#6a22fe
bacterium LF-3	Stool	#ded579	1	42.0	11.0	#ff2613	#01b3ec
[Bacteroides] pectinophilus	Stool	#ded579	1	29.0	17.0	#d0e082	#44eed2
Bacteroides salyersiae	Stool	#ded579	3	9.0	20.0	#1898f2	#66fcc2
Bacteroides sartorii	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
Bacteroides sp. 1_1_30	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
Bacteroides sp. 14(A)	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
Bacteroides sp. 2_2_4	Stool	#ded579	2	13.0	19.0	#17cbe4	#5df9c7
Bacteroides sp. 3_1_13	Stool	#ded579	3	13.0	19.0	#17cbe4	#5df9c7
Bacteroides sp. 3_1_19	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
Bacteroides sp. 3_1_23	Stool	#ded579	3	13.0	19.0	#17cbe4	#5df9c7
Bacteroides sp. 4_1_36	Stool	#ded579	1	36.0	22.0	#ff8c49	#7effb5
Bacteroides sp. 4_3_47FAA	Stool	#ded579	1	43.0	16.0	#ff1309	#38e7d7
Bacteroides sp. D2	Stool	#ded579	3	13.0	19.0	#17cbe4	#5df9c7
Bacteroides sp. D22	Stool	#ded579	2	13.0	19.0	#17cbe4	#5df9c7
Barnesiella intestinihominis	Stool	#ded579	20	11.0	15.0	#01b3ec	#2ddedc
Bergeyella zoohelcum	R_Retroauricular_crease	#9efaa2	1	42.0	11.0	#ff2613	#01b3ec
Bifidobacterium dentium	Posterior_fornix	#7effb5	2	13.0	19.0	#17cbe4	#5df9c7
Bifidobacterium moukalabense	Posterior_fornix	#7effb5	2	13.0	19.0	#17cbe4	#5df9c7
Bifidobacterium scardovii	Posterior_fornix	#7effb5	4	44.0	7.0	#ff0000	#3079f7
Bifidobacterium sp. MSTE12	Posterior_fornix	#7effb5	2	13.0	19.0	#17cbe4	#5df9c7
Bilophila wadsworthia	Stool	#ded579	2	35.0	12.0	#ff9b52	#0ac0e8
Blautia obeum	Stool	#ded579	4	18.0	14.0	#50f4cc	#22d6e0
Blautia wexlerae	Stool	#ded579	3	21.0	14.0	#72febb	#22d6e0
Bradyrhizobium sp. BTAi1	L_Retroauricular_crease	#1fd3e1	2	19.0	2.0	#5df9c7	#6a22fe
Brochothrix thermosphacta	Saliva	#beec8e	2	19.0	2.0	#5df9c7	#6a22fe
Bulleidia extructa	Throat	#ff6232	1	30.0	17.0	#dbd87b	#44eed2
Butyricicoccus pullicaecorum	Stool	#ded579	1	43.0	16.0	#ff1309	#38e7d7
Butyricimonas synergistica	Stool	#ded579	2	25.0	20.0	#a0faa1	#66fcc2
Butyrivibrio crossotus	Stool	#ded579	3	32.0	14.0	#f2c26b	#22d6e0
Butyrivibrio sp. NC3005	Stool	#ded579	1	30.0	17.0	#dbd87b	#44eed2
Campylobacter gracilis	Subgingival_plaque	#feb562	3	23.0	0.0	#8bfeae	#8000ff
Campylobacter showae	Supragingival_plaque	#ff8e4a	3	23.0	0.0	#8bfeae	#8000ff
Candidatus Alistipes marseilloanorexicus	Stool	#ded579	6	18.0	14.0	#50f4cc	#22d6e0
Candidatus Bacteroides timonensis	Stool	#ded579	1	43.0	16.0	#ff1309	#38e7d7
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#beec8e	4	3.0	0.0	#5e35fe	#8000ff
Capnocytophaga gingivalis	Supragingival_plaque	#ff8e4a	10	27.0	8.0	#b9ef92	#2489f5
Capnocytophaga granulosa	Supragingival_plaque	#ff8e4a	2	23.0	0.0	#8bfeae	#8000ff
Capnocytophaga sp. CM59	Supragingival_plaque	#ff8e4a	2	23.0	0.0	#8bfeae	#8000ff
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#feb562	1	44.0	9.0	#ff0000	#1898f2
Capnocytophaga sp. oral taxon 329	Supragingival_plaque	#ff8e4a	5	3.0	0.0	#5e35fe	#8000ff
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8e4a	2	23.0	0.0	#8bfeae	#8000ff
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff8e4a	2	23.0	0.0	#8bfeae	#8000ff
Carnobacterium maltaromaticum	Hard_palate	#218cf4	1	7.0	10.0	#3079f7	#0ea5ef
Catenibacterium mitsuokai	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
Caulobacter vibrioides	Anterior_nares	#8000ff	3	19.0	2.0	#5df9c7	#6a22fe
Clostridia bacterium UC5.1-1D10	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
Clostridiales bacterium VE202-27	Stool	#ded579	1	28.0	22.0	#c4e88a	#7effb5
Clostridium botulinum	Stool	#ded579	1	29.0	17.0	#d0e082	#44eed2
[Clostridium] clostridioforme	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
[Clostridium] hiranonis	Stool	#ded579	1	30.0	17.0	#dbd87b	#44eed2
[Clostridium] leptum	L_Retroauricular_crease	#1fd3e1	2	32.0	14.0	#f2c26b	#22d6e0
Clostridium sp. 1_1_41A1FAA	Stool	#ded579	1	1.0	1.0	#7610ff	#7610ff
Clostridium sp. ATCC 29733	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
Clostridium sp. FS41	Stool	#ded579	1	36.0	22.0	#ff8c49	#7effb5
Clostridium sp. GD3	Stool	#ded579	2	32.0	14.0	#f2c26b	#22d6e0
[Clostridium] spiroforme	Stool	#ded579	1	43.0	16.0	#ff1309	#38e7d7
Clostridium sp. M62/1	Stool	#ded579	1	43.0	16.0	#ff1309	#38e7d7
