TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Afipia broomeae	Anterior_nares	#8000ff	2	20.0	3.0	#20d5e1	#6826fe
Alistipes sp. AL-1	Stool	#ded579	316	0.0	6.0	#8000ff	#504afc
Alkaliflexus imshenetskii	Stool	#ded579	2	36.0	5.0	#a2f9a0	#583efd
Anaerofustis stercorihominis	Stool	#ded579	11	44.0	8.0	#e4cf74	#4062fa
Anaeroglobus geminatus	Subgingival_plaque	#feb562	25	35.0	4.0	#9bfba5	#6032fe
Bacteroides sp. 3_1_23	Stool	#ded579	291	19.0	20.0	#18cde4	#24d8df
Bacteroides sp. D2	Stool	#ded579	264	12.0	15.0	#208ef4	#06aeed
Bacteroides sp. D22	Stool	#ded579	263	19.0	20.0	#18cde4	#24d8df
Bifidobacterium angulatum	Stool	#ded579	31	41.0	1.0	#cbe486	#780dff
Bifidobacterium ruminantium	Stool	#ded579	8	48.0	22.0	#ffae5e	#34e4d9
Blautia obeum	Stool	#ded579	341	42.0	19.0	#d4dd80	#1dd1e2
Blautia producta	Stool	#ded579	144	42.0	19.0	#d4dd80	#1dd1e2
Bradyrhizobium sp. BTAi1	L_Retroauricular_crease	#1fd3e1	2	20.0	3.0	#20d5e1	#6826fe
Candidatus Hamiltonella defensa	Stool	#ded579	3	21.0	19.0	#2adddd	#1dd1e2
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#beec8e	5	35.0	4.0	#9bfba5	#6032fe
Catabacter hongkongensis	Stool	#ded579	41	44.0	8.0	#e4cf74	#4062fa
Clostridiales bacterium VE202-18	Stool	#ded579	7	42.0	19.0	#d4dd80	#1dd1e2
[Clostridium] innocuum	Stool	#ded579	44	22.0	9.0	#32e3da	#3670f8
[Clostridium] litorale	Stool	#ded579	2	24.0	0.0	#42edd3	#8000ff
Clostridium sartagoforme	Stool	#ded579	2	0.0	36.0	#8000ff	#a8f79c
[Clostridium] sordellii	Stool	#ded579	6	46.0	38.0	#f4c069	#b9ef92
Clostridium sp. 7_2_43FAA	Stool	#ded579	2	0.0	36.0	#8000ff	#a8f79c
Clostridium sp. ASBs410	Stool	#ded579	2	5.0	41.0	#583efd	#d0e082
Clostridium sp. C8	Stool	#ded579	2	0.0	36.0	#8000ff	#a8f79c
Clostridium sp. JCC	L_Retroauricular_crease	#1fd3e1	29	46.0	38.0	#f4c069	#b9ef92
Clostridium sp. JCD	Stool	#ded579	1	51.0	10.0	#ff914c	#2e7bf7
Collinsella sp. 4_8_47FAA	Stool	#ded579	262	57.0	43.0	#ff4d27	#e0d377
Collinsella stercoris	Stool	#ded579	18	35.0	4.0	#9bfba5	#6032fe
Collinsella tanakaei	Stool	#ded579	34	56.0	17.0	#ff592d	#0ac0e8
Coprococcus eutactus	Stool	#ded579	213	8.0	42.0	#4062fa	#d9da7d
Corynebacterium matruchotii	Supragingival_plaque	#ff8e4a	2	56.0	17.0	#ff592d	#0ac0e8
Desulfotomaculum nigrificans	Stool	#ded579	2	0.0	36.0	#8000ff	#a8f79c
Desulfovibrio sp. 6_1_46AFAA	Stool	#ded579	15	63.0	7.0	#ff0000	#4856fb
Dialister invisus	Stool	#ded579	148	35.0	4.0	#9bfba5	#6032fe
Dialister micraerophilus	Saliva	#beec8e	2	52.0	30.0	#ff8646	#76ffb9
Dialister succinatiphilus	Stool	#ded579	35	39.0	11.0	#bbee91	#2686f5
Dorea sp. D27	Stool	#ded579	3	44.0	8.0	#e4cf74	#4062fa
Dysgonomonas capnocytophagoides	Stool	#ded579	8	35.0	4.0	#9bfba5	#6032fe
Dysgonomonas mossii	Stool	#ded579	8	15.0	21.0	#08acee	#2ddedc
Eggerthella sp. 1_3_56FAA	Stool	#ded579	3	52.0	30.0	#ff8646	#76ffb9
Eggerthella sp. HGA1	Stool	#ded579	6	27.0	10.0	#5af8c8	#2e7bf7
Eggerthella sp. YY7918	Stool	#ded579	4	22.0	9.0	#32e3da	#3670f8
Enterobacter cloacae	Anterior_nares	#8000ff	2	10.0	25.0	#3079f7	#4df3ce
Enterobacteriaceae bacterium strain FGI 57	Stool	#ded579	1	3.0	25.0	#6826fe	#4df3ce
Enterococcus columbae	Stool	#ded579	2	47.0	47.0	#fcb763	#ffb05f
Enterococcus dispar	Stool	#ded579	2	51.0	10.0	#ff914c	#2e7bf7
Enterococcus faecalis	Anterior_nares	#8000ff	13	44.0	8.0	#e4cf74	#4062fa
Erwinia tracheiphila	Stool	#ded579	3	21.0	19.0	#2adddd	#1dd1e2
Erysipelotrichaceae bacterium 2_2_44A	Stool	#ded579	21	22.0	9.0	#32e3da	#3670f8
Erysipelotrichaceae bacterium 5_2_54FAA	Stool	#ded579	35	19.0	40.0	#18cde4	#c8e688
