TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Afipia broomeae	Anterior_nares	#8000ff	2	3.0	2.0	#5247fc	#6629fe
Alistipes onderdonkii	Stool	#ded579	331	21.0	5.0	#cee184	#3e65fa
Alistipes senegalensis	Stool	#ded579	333	21.0	5.0	#cee184	#3e65fa
Alistipes timonensis	Stool	#ded579	321	21.0	5.0	#cee184	#3e65fa
Alkaliflexus imshenetskii	Stool	#ded579	2	11.0	4.0	#2fe0db	#4c50fc
Bradyrhizobium sp. BTAi1	L_Retroauricular_crease	#1fd3e1	2	3.0	2.0	#5247fc	#6629fe
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#beec8e	5	9.0	3.0	#0fc4e7	#583efd
[Clostridium] litorale	Stool	#ded579	2	2.0	0.0	#622ffe	#8000ff
Clostridium sp. 7_2_43FAA	Stool	#ded579	2	6.0	22.0	#218cf4	#a6f89d
Clostridium sp. C8	Stool	#ded579	2	6.0	22.0	#218cf4	#a6f89d
Collinsella sp. 4_8_47FAA	Stool	#ded579	262	0.0	24.0	#8000ff	#c2ea8c
Desulfotomaculum nigrificans	Stool	#ded579	2	6.0	22.0	#218cf4	#a6f89d
Desulfovibrio sp. 6_1_46AFAA	Stool	#ded579	15	4.0	25.0	#425ffa	#cee184
Dorea sp. D27	Stool	#ded579	3	14.0	6.0	#5efac6	#3079f7
Eggerthella sp. 1_3_56FAA	Stool	#ded579	3	5.0	26.0	#3176f8	#dcd67a
Enterobacter cloacae	Anterior_nares	#8000ff	2	12.0	19.0	#3febd5	#7effb5
Enterobacteriaceae bacterium strain FGI 57	Stool	#ded579	1	24.0	12.0	#feb562	#20d5e1
Enterococcus columbae	Stool	#ded579	2	22.0	27.0	#ded579	#ebca70
Erwinia tracheiphila	Stool	#ded579	3	7.0	16.0	#11a0f1	#56f7ca
Escherichia albertii	Stool	#ded579	1	24.0	12.0	#feb562	#20d5e1
Escherichia fergusonii	Stool	#ded579	2	12.0	19.0	#3febd5	#7effb5
[Eubacterium] infirmum	Subgingival_plaque	#feb562	2	14.0	6.0	#5efac6	#3079f7
Fermentimonas caenicola	R_Retroauricular_crease	#9efaa2	2	12.0	19.0	#3febd5	#7effb5
Fibrella aestuarina	Stool	#ded579	3	9.0	3.0	#0fc4e7	#583efd
Fusobacterium varium	Attached	#622ffe	1	32.0	1.0	#ff0000	#7413ff
Gardnerella vaginalis	Vaginal_introitus	#ff0000	2	13.0	6.0	#4ef3cd	#3079f7
Gemella morbillorum	Attached	#622ffe	2	6.0	22.0	#218cf4	#a6f89d
Haemophilus haemolyticus	Keratinized_gingiva	#01b3ec	3	7.0	16.0	#11a0f1	#56f7ca
Intestinibacter bartlettii	Stool	#ded579	4	26.0	23.0	#ff8e4a	#b4f295
Klebsiella sp. 4_1_44FAA	Stool	#ded579	1	32.0	1.0	#ff0000	#7413ff
Kluyvera cryocrescens	L_Retroauricular_crease	#1fd3e1	2	12.0	19.0	#3febd5	#7effb5
Lachnoclostridium phytofermentans	Stool	#ded579	5	1.0	13.0	#7216ff	#2fe0db
Lachnospiraceae bacterium 3-2	Stool	#ded579	1	10.0	29.0	#1fd3e1	#ffae5e
Lachnospiraceae bacterium 5_1_57FAA	Stool	#ded579	3	22.0	31.0	#ded579	#ff8c49
Lachnospiraceae bacterium AC2014	Stool	#ded579	10	1.0	13.0	#7216ff	#2fe0db
Lachnospiraceae bacterium AC2029	Stool	#ded579	3	20.0	14.0	#beec8e	#3ae8d6
Lachnospiraceae bacterium AC3007	Stool	#ded579	1	24.0	15.0	#feb562	#48f1d0
Lachnospiraceae bacterium ND2006	Tongue_dorsum	#ff3219	1	10.0	29.0	#1fd3e1	#ffae5e
Lachnospiraceae bacterium oral taxon 500	Supragingival_plaque	#ff8e4a	4	9.0	3.0	#0fc4e7	#583efd
Lachnospiraceae bacterium P6B14	Stool	#ded579	4	1.0	13.0	#7216ff	#2fe0db
Lachnospiraceae bacterium TWA4	Stool	#ded579	3	20.0	14.0	#beec8e	#3ae8d6
Lachnospiraceae bacterium V9D3004	Stool	#ded579	4	14.0	6.0	#5efac6	#3079f7
Leuconostoc mesenteroides	Anterior_nares	#8000ff	2	17.0	20.0	#8efeac	#8cfead
Marinilabilia salmonicolor	L_Retroauricular_crease	#1fd3e1	3	7.0	16.0	#11a0f1	#56f7ca
Megamonas hypermegale	Stool	#ded579	6	31.0	10.0	#ff190d	#07bbea
Megamonas rupellensis	Stool	#ded579	13	17.0	33.0	#8efeac	#ff6835
Megasphaera sp. DJF_B143	Stool	#ded579	27	27.0	9.0	#ff793e	#08acee
Mitsuokella jalaludinii	Stool	#ded579	20	27.0	9.0	#ff793e	#08acee
Mitsuokella multacida	Stool	#ded579	22	27.0	9.0	#ff793e	#08acee
Mobiluncus curtisii	Posterior_fornix	#7effb5	1	19.0	8.0	#aef498	#169bf2
Mobiluncus mulieris	Stool	#ded579	2	19.0	8.0	#aef498	#169bf2
Neisseria sp. KH1503	Throat	#ff6232	2	2.0	0.0	#622ffe	#8000ff
Novosphingobium nitrogenifigens	Anterior_nares	#8000ff	2	23.0	2.0	#eec66d	#6629fe
Paludibacter propionicigenes	Stool	#ded579	2	29.0	35.0	#ff4a26	#ff4121
Parasutterella excrementihominis	Stool	#ded579	220	30.0	11.0	#ff3219	#12c8e6
Parvimonas micra	Subgingival_plaque	#feb562	2	16.0	28.0	#7effb5	#f6be68
Peptoniphilus grossensis	R_Retroauricular_crease	#9efaa2	3	5.0	26.0	#3176f8	#dcd67a
Peptostreptococcaceae bacterium VA2	Stool	#ded579	2	17.0	20.0	#8efeac	#8cfead
Polaromonas sp. JS666	Anterior_nares	#8000ff	2	3.0	2.0	#5247fc	#6629fe
Pontibacter roseus	Anterior_nares	#8000ff	2	9.0	3.0	#0fc4e7	#583efd
Porphyromonas gulae	R_Retroauricular_crease	#9efaa2	2	5.0	26.0	#3176f8	#dcd67a
Prevotella histicola	Palatine_Tonsils	#5efac6	6	15.0	32.0	#6efebe	#ff7b40
Prevotella paludivivens	Stool	#ded579	11	17.0	37.0	#8efeac	#ff160b
Prolixibacter bellariivorans	Stool	#ded579	1	24.0	34.0	#feb562	#ff532a
Pseudobutyrivibrio ruminis	Stool	#ded579	4	20.0	14.0	#beec8e	#3ae8d6
Pseudobutyrivibrio sp. MD2005	Stool	#ded579	2	28.0	7.0	#ff6232	#2489f5
