	Holdouts
0	1121
1	21
2	958
3	1178
4	583
5	971
6	1499
7	158
8	754
9	881
10	548
11	922
12	1508
13	111
14	64
15	1122
16	1473
17	1031
18	1076
19	1099
20	229
21	911
22	1438
23	43
24	370
25	830
26	1660
27	1410
28	14
29	765
30	1261
31	1290
32	365
33	615
34	779
35	802
36	1217
37	953
38	431
39	469
40	625
41	1324
42	433
43	440
44	1349
45	1655
46	561
47	640
48	999
49	576
50	51
51	292
52	1353
53	587
54	905
55	1644
56	643
57	1572
58	1498
59	26
60	888
61	1411
62	323
63	886
64	82
65	1135
66	237
67	477
68	1297
69	398
70	270
71	1046
72	1187
73	249
74	1011
75	977
76	428
77	946
78	353
79	471
80	65
81	722
82	1468
83	833
84	1574
85	200
86	1237
87	1025
88	252
89	1328
90	303
91	1125
92	1225
93	1580
94	639
95	1312
96	309
97	105
98	564
99	1310
100	273
101	120
102	825
103	1252
104	823
105	40
106	267
107	128
108	609
109	987
110	744
111	211
112	536
113	969
114	631
115	1326
116	1604
117	1445
118	566
119	1232
120	1051
121	1569
122	811
123	1294
124	1456
125	1074
126	915
127	908
128	624
129	1160
130	923
131	248
132	1434
133	1398
134	321
135	18
136	1341
137	1432
138	60
139	661
140	185
141	479
142	1423
143	920
144	1578
145	1520
146	322
147	409
148	302
149	432
150	988
151	1066
152	46
153	1183
154	157
155	1346
156	747
157	966
158	320
159	629
160	464
161	983
162	995
163	1143
164	1476
165	544
166	58
167	367
168	452
169	1343
170	652
171	92
172	1259
173	1565
174	1148
175	1145
176	453
177	310
178	1649
179	822
180	1352
181	282
182	212
183	735
184	1453
185	2
186	582
187	29
188	595
189	804
190	1272
191	90
192	562
193	66
194	72
195	1325
196	186
197	263
198	772
199	1134
200	1098
201	1546
202	870
203	805
204	604
205	97
206	785
207	98
208	89
209	122
210	1413
211	1461
212	1598
213	1402
214	841
215	392
216	658
217	347
218	11
219	15
220	1463
221	1563
222	1253
223	1096
224	1576
225	214
226	998
227	1527
228	1354
229	1551
230	1001
231	325
232	168
233	599
234	965
235	1235
236	940
237	985
238	375
239	1111
240	648
241	739
242	355
243	1568
244	383
245	118
246	1581
247	1104
248	645
249	1633
250	1447
251	967
252	1437
253	601
254	1114
255	169
256	403
257	759
258	1335
259	1418
260	284
261	1356
262	1360
263	228
264	1010
265	937
266	271
267	337
268	175
269	929
270	994
271	1209
272	86
273	343
274	578
275	377
276	135
277	1467
278	928
279	444
280	93
281	1653
282	554
283	1608
284	732
285	201
286	1351
287	1651
288	641
289	1542
290	1511
291	16
292	173
293	1236
294	1211
295	290
296	1000
297	873
298	1365
299	1628
