source	target	weight	edge_sample	edge_color
Actinobacillus suis	Acidovorax caeni	1.0	Mixed	#cccccc
Actinomyces sp. ICM39	Actinomyces graevenitzii	0.815021427815	Tongue_dorsum	#ff3219
Actinomyces sp. ICM39	Actinomyces sp. HPA0247	0.86445509351	Tongue_dorsum	#ff3219
Actinomyces sp. ICM58	Actinomyces graevenitzii	1.0	Tongue_dorsum	#ff3219
Actinomyces sp. ICM58	Actinomyces sp. ICM39	0.815021427815	Tongue_dorsum	#ff3219
Actinomyces sp. oral taxon 172	Actinomyces graevenitzii	1.0	Tongue_dorsum	#ff3219
Actinomyces sp. oral taxon 172	Actinomyces sp. ICM39	0.815021427815	Tongue_dorsum	#ff3219
Actinomyces sp. oral taxon 172	Actinomyces sp. ICM58	1.0	Tongue_dorsum	#ff3219
Actinomyces sp. oral taxon 849	Acidovorax avenae	1.0	Supragingival_plaque	#ff8e4a
Actinomyces sp. S6-Spd3	Actinomyces graevenitzii	1.0	Tongue_dorsum	#ff3219
Actinomyces sp. S6-Spd3	Actinomyces sp. ICM39	0.815021427815	Tongue_dorsum	#ff3219
Actinomyces sp. S6-Spd3	Actinomyces sp. ICM58	1.0	Tongue_dorsum	#ff3219
Actinomyces sp. S6-Spd3	Actinomyces sp. oral taxon 172	1.0	Tongue_dorsum	#ff3219
Anaerostipes hadrus	Alloscardovia omnicolens	1.0	Mixed	#cccccc
Atopobium sp. ICM42b	Atopobium sp. BS2	0.912921348315	Saliva	#beec8e
Bacteroides cellulosilyticus	Alistipes obesi	1.0	Stool	#ded579
Bacteroides finegoldii	Bacteroides faecis	0.815021427815	Stool	#ded579
Bacteroides intestinalis	Acidovorax caeni	1.0	Mixed	#cccccc
Bacteroides intestinalis	Actinobacillus suis	1.0	Mixed	#cccccc
Bacteroides thetaiotaomicron	Bacteroides gallinarum	1.0	Stool	#ded579
Bergeyella zoohelcum	Acidovorax avenae	1.0	Mixed	#cccccc
Bergeyella zoohelcum	Actinomyces sp. oral taxon 849	1.0	Mixed	#cccccc
Bifidobacterium breve	Bacteroides coprocola	0.815021427815	Mixed	#cccccc
Campylobacter fetus	Acidovorax avenae	1.0	Mixed	#cccccc
Campylobacter fetus	Actinomyces sp. oral taxon 849	1.0	Mixed	#cccccc
Campylobacter fetus	Bergeyella zoohelcum	1.0	Mixed	#cccccc
Capnocytophaga cynodegmi	Acidovorax avenae	1.0	Mixed	#cccccc
Capnocytophaga cynodegmi	Actinomyces sp. oral taxon 849	1.0	Mixed	#cccccc
Capnocytophaga cynodegmi	Bergeyella zoohelcum	1.0	R_Retroauricular_crease	#9efaa2
Capnocytophaga cynodegmi	Campylobacter fetus	1.0	Mixed	#cccccc
Capnocytophaga sp. oral taxon 323	Capnocytophaga ochracea	0.804813477945	Supragingival_plaque	#ff8e4a
Capnocytophaga sp. oral taxon 336	Capnocytophaga sp. oral taxon 323	0.81589873265	Mixed	#cccccc
Capnocytophaga sp. oral taxon 380	Capnocytophaga sp. oral taxon 323	0.869320843091	Supragingival_plaque	#ff8e4a
Carnobacterium divergens	Brochothrix thermosphacta	1.0	Saliva	#beec8e
Coriobacteriaceae bacterium BV3Ac1	Bacteroides eggerthii	1.0	Mixed	#cccccc
Escherichia coli	Alistipes obesi	0.815021427815	Stool	#ded579
Escherichia coli	Bacteroides cellulosilyticus	0.815021427815	Stool	#ded579
[Eubacterium] eligens	Butyricimonas virosa	0.815021427815	Stool	#ded579
Fusobacterium equinum	Campylobacter mucosalis	0.892799478657	Attached	#622ffe
Gemella sanguinis	Actinomyces graevenitzii	1.0	Tongue_dorsum	#ff3219
Gemella sanguinis	Actinomyces sp. ICM39	0.815021427815	Tongue_dorsum	#ff3219
Gemella sanguinis	Actinomyces sp. ICM58	1.0	Tongue_dorsum	#ff3219
Gemella sanguinis	Actinomyces sp. oral taxon 172	1.0	Tongue_dorsum	#ff3219
Gemella sanguinis	Actinomyces sp. S6-Spd3	1.0	Tongue_dorsum	#ff3219
Histophilus somni	Gallibacterium anatis	0.811997942941	Mixed	#cccccc
