TAXA	Acetivibrio	Acholeplasma	Acidaminococcus	Acinetobacter	Actinomyces	Adlercreutzia	Aggregatibacter	Akkermansia	Alistipes	Alloprevotella	Anaerococcus	Anaerofustis	Anaeroglobus	Anaerostipes	Anaerotruncus	Bacillus	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Capnocytophaga	Catabacter	Catenibacterium	Cellulomonas	Chlamydia	Clostridium	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Cupriavidus	Desulfotomaculum	Desulfovibrio	Dialister	Dielma	Dorea	Dysgonomonas	Eggerthella	Enterobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Escherichia	Eubacterium	Faecalibacterium	Faecalicoccus	Faecalitalea	Flavonifractor	Fusobacterium	Gemella	Gordonibacter	Haemophilus	Hallella	Holdemanella	Holdemania	Hungatella	Intestinimonas	Johnsonella	Kandleria	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lactobacillus	Lactococcus	Leuconostoc	Levyella	Mageeibacillus	Marvinbryantia	Megamonas	Megasphaera	Odoribacter	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paraprevotella	Parasutterella	Pedobacter	Peptoclostridium	Peptostreptococcus	Phascolarctobacterium	Porphyromonas	Prevotella	Propionibacterium	Pseudoflavonifractor	Rikenella	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Salmonella	Sanguibacteroides	Senegalimassilia	Sinorhizobium	Slackia	Solobacterium	Sphingobacterium	Stomatobaculum	Streptococcus	Subdoligranulum	Sutterella	Tannerella	Terrisporobacter	Turicibacter	Tyzzerella	Veillonella
Acetivibrio	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	1.0	1.0	0.0	0.0	0.0	5.0	1.0	0.0	2.0	1.0	0.0	2.0	10.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	3.0	6.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	5.0	4.0	0.0	2.0	6.0	0.0	0.0	3.0	0.0	0.0	1.0	7.0	1.0	1.0	0.0	0.0	1.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	3.0	3.0	2.0	0.0	4.0	0.0	8.0	0.0	2.0	4.0	0.0	0.0	4.0	1.0	3.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	4.0	2.0	4.0	0.0	0.0	3.0	2.0
Acholeplasma	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	7.0	1.0	5.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	0.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
Adlercreutzia	2.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	2.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	2.0	4.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	1.0	4.0	1.0	0.0	2.0	2.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	2.0	1.0	1.0	1.0	1.0
Aggregatibacter	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Akkermansia	7.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	1.0	0.0	0.0	7.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	2.0	5.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	1.0	4.0	0.0	0.0	2.0	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	2.0	2.0	1.0	4.0	0.0	5.0	0.0	2.0	4.0	2.0	0.0	3.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	3.0	2.0	3.0	0.0	0.0	2.0	1.0
Alistipes	1.0	2.0	2.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	2.0	1.0	2.0	3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	2.0	4.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0
Alloprevotella	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
