source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Atopobium	0	Atopobium	Actinobaculum	4.0	5	8	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	8	2.0	1.0	#1996f3	#386df9
Actinobaculum	1	Actinobaculum	Atopobium	4.0	8	5	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	8	2.0	1.0	#1996f3	#386df9
Campylobacter	2	Campylobacter	Bergeyella	3.0	8	3	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	10.0	4.0	#ff0000	#a2f9a0
Bergeyella	3	Bergeyella	Campylobacter	3.0	3	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	10.0	4.0	#ff0000	#a2f9a0
Capnocytophaga	4	Capnocytophaga	Bergeyella	3.0	8	3	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	10.0	4.0	#ff0000	#a2f9a0
Bergeyella	5	Bergeyella	Capnocytophaga	3.0	3	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	10.0	4.0	#ff0000	#a2f9a0
Chryseobacterium	6	Chryseobacterium	Campylobacter	4.0	5	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	10.0	4.0	#ff0000	#a2f9a0
Campylobacter	7	Campylobacter	Chryseobacterium	4.0	8	5	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	10.0	4.0	#ff0000	#a2f9a0
Eubacterium	8	Eubacterium	Dialister	3.0	8	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8	4.0	5.0	#4df3ce	#ecc86f
Dialister	9	Dialister	Eubacterium	3.0	6	8	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8	4.0	5.0	#4df3ce	#ecc86f
Filifactor	10	Filifactor	Bacteroides	2.0	3	3	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	8	8.0	3.0	#ff964f	#5af8c8
Bacteroides	11	Bacteroides	Filifactor	2.0	3	3	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	8	8.0	3.0	#ff964f	#5af8c8
Fusobacterium	12	Fusobacterium	Catonella	4.0	7	6	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	8	5.0	5.0	#7effb5	#ecc86f
Catonella	13	Catonella	Fusobacterium	4.0	6	7	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	8	5.0	5.0	#7effb5	#ecc86f
Gemella	14	Gemella	Eubacterium	4.0	8	8	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	8	4.0	5.0	#4df3ce	#ecc86f
Eubacterium	15	Eubacterium	Gemella	4.0	8	8	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	8	4.0	5.0	#4df3ce	#ecc86f
Haemophilus	16	Haemophilus	Gemella	4.0	8	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8	4.0	5.0	#4df3ce	#ecc86f
Gemella	17	Gemella	Haemophilus	4.0	8	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8	4.0	5.0	#4df3ce	#ecc86f
Johnsonella	18	Johnsonella	Catonella	3.0	5	6	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8	4.0	5.0	#4df3ce	#ecc86f
Catonella	19	Catonella	Johnsonella	3.0	6	5	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8	5.0	5.0	#7effb5	#ecc86f
Johnsonella	20	Johnsonella	Fusobacterium	3.0	5	7	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	8	4.0	5.0	#4df3ce	#ecc86f
Fusobacterium	21	Fusobacterium	Johnsonella	3.0	7	5	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	8	5.0	5.0	#7effb5	#ecc86f
Johnsonella	22	Johnsonella	Gemella	3.0	5	8	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	8	4.0	5.0	#4df3ce	#ecc86f
Gemella	23	Gemella	Johnsonella	3.0	8	5	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	8	4.0	5.0	#4df3ce	#ecc86f
Johnsonella	24	Johnsonella	Haemophilus	4.0	5	8	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	8	4.0	5.0	#4df3ce	#ecc86f
Haemophilus	25	Haemophilus	Johnsonella	4.0	8	5	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	8	4.0	5.0	#4df3ce	#ecc86f
Lachnoanaerobaculum	26	Lachnoanaerobaculum	Centipeda	3.0	6	6	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	8	3.0	1.0	#18cde4	#386df9
Centipeda	27	Centipeda	Lachnoanaerobaculum	3.0	6	6	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	8	3.0	1.0	#18cde4	#386df9
Lautropia	28	Lautropia	Abiotrophia	5.0	8	8	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	8	6.0	0.0	#b2f396	#8000ff
Abiotrophia	29	Abiotrophia	Lautropia	5.0	8	8	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	8	6.0	0.0	#b2f396	#8000ff
Mycoplasma	30	Mycoplasma	Filifactor	2.0	3	3	Subgingival_plaque	Throat	Intertype	#e4cf74	#ff5029	#cccccc	8	8.0	3.0	#ff964f	#5af8c8
Filifactor	31	Filifactor	Mycoplasma	2.0	3	3	Throat	Subgingival_plaque	Intertype	#ff5029	#e4cf74	#cccccc	8	8.0	3.0	#ff964f	#5af8c8
Olsenella	32	Olsenella	Bacteroides	3.0	3	3	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	8	8.0	3.0	#ff964f	#5af8c8
Bacteroides	33	Bacteroides	Olsenella	3.0	3	3	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	8	8.0	3.0	#ff964f	#5af8c8
Olsenella	34	Olsenella	Filifactor	2.0	3	3	Subgingival_plaque	Throat	Intertype	#e4cf74	#ff5029	#cccccc	8	8.0	3.0	#ff964f	#5af8c8
Filifactor	35	Filifactor	Olsenella	2.0	3	3	Throat	Subgingival_plaque	Intertype	#ff5029	#e4cf74	#cccccc	8	8.0	3.0	#ff964f	#5af8c8
Oribacterium	36	Oribacterium	Centipeda	3.0	7	6	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	8	9.0	1.0	#ff5029	#386df9
Centipeda	37	Centipeda	Oribacterium	3.0	6	7	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	8	3.0	1.0	#18cde4	#386df9
Parvimonas	38	Parvimonas	Centipeda	3.0	6	6	Throat	Subgingival_plaque	Intertype	#ff5029	#e4cf74	#cccccc	8	9.0	1.0	#ff5029	#386df9
Centipeda	39	Centipeda	Parvimonas	3.0	6	6	Subgingival_plaque	Throat	Intertype	#e4cf74	#ff5029	#cccccc	8	3.0	1.0	#18cde4	#386df9
Parvimonas	40	Parvimonas	Lachnoanaerobaculum	5.0	6	6	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	8	9.0	1.0	#ff5029	#386df9
Lachnoanaerobaculum	41	Lachnoanaerobaculum	Parvimonas	5.0	6	6	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	8	3.0	1.0	#18cde4	#386df9
Parvimonas	42	Parvimonas	Oribacterium	4.0	6	7	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	8	9.0	1.0	#ff5029	#386df9
Oribacterium	43	Oribacterium	Parvimonas	4.0	7	6	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	8	9.0	1.0	#ff5029	#386df9
Peptostreptococcus	44	Peptostreptococcus	Lachnoanaerobaculum	3.0	4	6	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	8	9.0	1.0	#ff5029	#386df9
Lachnoanaerobaculum	45	Lachnoanaerobaculum	Peptostreptococcus	3.0	6	4	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	8	3.0	1.0	#18cde4	#386df9
Peptostreptococcus	46	Peptostreptococcus	Oribacterium	3.0	4	7	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	8	9.0	1.0	#ff5029	#386df9
Oribacterium	47	Oribacterium	Peptostreptococcus	3.0	7	4	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	8	9.0	1.0	#ff5029	#386df9
Peptostreptococcus	48	Peptostreptococcus	Parvimonas	3.0	4	6	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	8	9.0	1.0	#ff5029	#386df9
Parvimonas	49	Parvimonas	Peptostreptococcus	3.0	6	4	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	8	9.0	1.0	#ff5029	#386df9
Porphyrobacter	50	Porphyrobacter	Chryseobacterium	4.0	5	5	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	8	10.0	4.0	#ff0000	#a2f9a0
Chryseobacterium	51	Chryseobacterium	Porphyrobacter	4.0	5	5	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	8	10.0	4.0	#ff0000	#a2f9a0
Prevotella	52	Prevotella	Anaeroglobus	3.0	8	4	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	8	2.0	1.0	#1996f3	#386df9
Anaeroglobus	53	Anaeroglobus	Prevotella	3.0	4	8	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	8	8.0	1.0	#ff964f	#386df9
Prevotella	54	Prevotella	Atopobium	4.0	8	5	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	8	2.0	1.0	#1996f3	#386df9
Atopobium	55	Atopobium	Prevotella	4.0	5	8	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	8	2.0	1.0	#1996f3	#386df9
Prevotella	56	Prevotella	Centipeda	3.0	8	6	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	8	2.0	1.0	#1996f3	#386df9
Centipeda	57	Centipeda	Prevotella	3.0	6	8	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	8	3.0	1.0	#18cde4	#386df9
Prevotella	58	Prevotella	Lachnoanaerobaculum	4.0	8	6	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	8	2.0	1.0	#1996f3	#386df9
Lachnoanaerobaculum	59	Lachnoanaerobaculum	Prevotella	4.0	6	8	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	8	3.0	1.0	#18cde4	#386df9
Rothia	60	Rothia	Kingella	6.0	8	8	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	8	7.0	6.0	#e4cf74	#ff703a
Kingella	61	Kingella	Rothia	6.0	8	8	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	8	7.0	6.0	#e4cf74	#ff703a
Selenomonas	62	Selenomonas	Catonella	4.0	8	6	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8	5.0	5.0	#7effb5	#ecc86f
Catonella	63	Catonella	Selenomonas	4.0	6	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8	5.0	5.0	#7effb5	#ecc86f
Selenomonas	64	Selenomonas	Johnsonella	3.0	8	5	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	5.0	5.0	#7effb5	#ecc86f
Johnsonella	65	Johnsonella	Selenomonas	3.0	5	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	4.0	5.0	#4df3ce	#ecc86f
Staphylococcus	66	Staphylococcus	Aggregatibacter	3.0	3	8	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	8	1.0	2.0	#4e4dfc	#10c6e6
Aggregatibacter	67	Aggregatibacter	Staphylococcus	3.0	8	3	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	8	8.0	2.0	#ff964f	#10c6e6
Staphylococcus	68	Staphylococcus	Granulicatella	3.0	3	8	Anterior_nares	Attached	Intertype	#8000ff	#4e4dfc	#cccccc	8	1.0	2.0	#4e4dfc	#10c6e6
Granulicatella	69	Granulicatella	Staphylococcus	3.0	8	3	Attached	Anterior_nares	Intertype	#4e4dfc	#8000ff	#cccccc	8	1.0	2.0	#4e4dfc	#10c6e6
Staphylococcus	70	Staphylococcus	Johnsonella	3.0	3	5	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	8	1.0	2.0	#4e4dfc	#10c6e6
