	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Cardiobacterium	Bacteroides	2.0	2	3	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	5
1	Bacteroides	Cardiobacterium	2.0	3	2	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	5
2	Centipeda	Bifidobacterium	2.0	3	2	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	5
3	Bifidobacterium	Centipeda	2.0	2	3	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	5
4	Gardnerella	Faecalibacterium	2.0	2	2	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	5
5	Faecalibacterium	Gardnerella	2.0	2	2	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	5
6	Kytococcus	Atopobium	5.0	5	5	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	5
7	Atopobium	Kytococcus	5.0	5	5	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	5
8	Megasphaera	Clostridium	2.0	5	2	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	5
9	Clostridium	Megasphaera	2.0	2	5	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	5
10	Pasteurella	Actinobacillus	2.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
11	Actinobacillus	Pasteurella	2.0	2	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
12	Peptostreptococcus	Lachnoanaerobaculum	4.0	5	5	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	5
13	Lachnoanaerobaculum	Peptostreptococcus	4.0	5	5	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	5
14	Propionibacterium	Abiotrophia	3.0	3	3	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	5
15	Abiotrophia	Propionibacterium	3.0	3	3	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	5
16	Rothia	Peptoniphilus	5.0	5	5	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	5
17	Peptoniphilus	Rothia	5.0	5	5	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	5
18	Sanguibacter	Atopobium	4.0	5	5	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	5
19	Atopobium	Sanguibacter	4.0	5	5	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	5
20	Sanguibacter	Kytococcus	4.0	5	5	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	5
21	Kytococcus	Sanguibacter	4.0	5	5	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	5
22	Solobacterium	Leptotrichia	4.0	5	5	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	5
23	Leptotrichia	Solobacterium	4.0	5	5	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	5
24	Streptococcus	Carnobacterium	4.0	5	5	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc	5
25	Carnobacterium	Streptococcus	4.0	5	5	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc	5
26	Treponema	Carnobacterium	4.0	5	5	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	5
27	Carnobacterium	Treponema	4.0	5	5	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	5
28	Treponema	Granulicatella	4.0	5	5	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc	5
29	Granulicatella	Treponema	4.0	5	5	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc	5
30	Treponema	Streptococcus	4.0	5	5	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	5
31	Streptococcus	Treponema	4.0	5	5	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	5
32	Trueperella	Atopobium	4.0	5	5	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	5
33	Atopobium	Trueperella	4.0	5	5	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	5
34	Trueperella	Kytococcus	4.0	5	5	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	5
35	Kytococcus	Trueperella	4.0	5	5	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	5
36	Trueperella	Sanguibacter	4.0	5	5	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	5
37	Sanguibacter	Trueperella	4.0	5	5	Tongue_dorsum	Tongue_dorsum	Tongue_dorsum	#ff0000	#ff0000	#ff0000	5
38	Varibaculum	Filifactor	2.0	2	2	Posterior_fornix	Throat	Intertype	#4df3ce	#ff5029	#cccccc	5
39	Filifactor	Varibaculum	2.0	2	2	Throat	Posterior_fornix	Intertype	#ff5029	#4df3ce	#cccccc	5
