 LEVEL TAXA abundance
298 genus Abiotrophia 0.0
299 genus Acetivibrio 0.0
300 genus Acetobacter 0.0
301 genus Acetobacterium 0.0
302 genus Acetohalobium 0.0
303 genus Acetonema 0.0
304 genus Acholeplasma 0.0
305 genus Achromobacter 0.0
306 genus Acidaminococcus 0.0
307 genus Acidithiobacillus 0.0
308 genus Acidobacterium 0.0
309 genus Acidovorax 0.0001
310 genus Acinetobacter 0.0001
311 genus Actinobacillus 0.0
312 genus Actinobaculum 0.0
313 genus Actinokineospora 0.0
314 genus Actinomyces 0.0
315 genus Actinoplanes 0.0
316 genus Actinopolyspora 0.0
317 genus Actinospica 0.0
318 genus Actinotignum 0.0
319 genus Adlercreutzia 0.0
320 genus Advenella 0.0
321 genus Aequorivita 0.0
322 genus Aerococcus 0.0014
323 genus Aeromicrobium 0.0
324 genus Aeromonas 0.0
325 genus Aestuariimicrobium 0.0
326 genus Afipia 0.0003
327 genus Agarivorans 0.0
328 genus Aggregatibacter 0.0
329 genus Agrobacterium 0.0
330 genus Agromyces 0.0
331 genus Akkermansia 0.0
332 genus Alcaligenes 0.0
333 genus Alcanivorax 0.0
334 genus Algibacter 0.0
335 genus Algicola 0.0
336 genus Algoriphagus 0.0
337 genus Alicycliphilus 0.0
338 genus Alicyclobacillus 0.0
339 genus Aliiglaciecola 0.0
340 genus Aliivibrio 0.0
341 genus Alistipes 0.0002
342 genus Aliterella 0.0
343 genus Alkaliflexus 0.0
344 genus Alkaliphilus 0.0
345 genus Alkanindiges 0.0
346 genus Allobaculum 0.0
347 genus Allofustis 0.0
348 genus Alloiococcus 0.0
349 genus Alloprevotella 0.0
350 genus Allosalinactinospora 0.0
351 genus Alloscardovia 0.0
352 genus Alteromonas 0.0
353 genus Altibacter 0.0
354 genus Alysiella 0.0
355 genus Amantichitinum 0.0
356 genus Aminiphilus 0.0
357 genus Aminobacterium 0.0
358 genus Aminomonas 0.0
359 genus Ammonifex 0.0
360 genus Amphibacillus 0.0
361 genus Anaerobaculum 0.0
362 genus Anaerobiospirillum 0.0
363 genus Anaerococcus 0.0005
364 genus Anaerofustis 0.0
365 genus Anaeroglobus 0.0
366 genus Anaerolinea 0.0
367 genus Anaeromusa 0.0
368 genus Anaerophaga 0.0
369 genus Anaerosalibacter 0.0
370 genus Anaerostipes 0.0
371 genus Anaerotruncus 0.0
372 genus Anaerovibrio 0.0
373 genus Anaerovorax 0.0
374 genus Anaplasma 0.0
375 genus Anditalea 0.0
376 genus Aneurinibacillus 0.0
377 genus Anoxybacillus 0.0
378 genus Apibacter 0.0
379 genus Aquabacterium 0.0
380 genus Aquaspirillum 0.0
381 genus Aquimarina 0.0
382 genus Aquitalea 0.0
383 genus Arcanobacterium 0.0
384 genus Arcobacter 0.0
385 genus Arcticibacter 0.0
386 genus Ardenticatena 0.0
387 genus Arenibacter 0.0
388 genus Arthrobacter 0.0
389 genus Asticcacaulis 0.0
390 genus Atopobacter 0.0
391 genus Atopobium 0.0
392 genus Atopococcus 0.0
393 genus Aureimonas 0.0
394 genus Austwickia 0.0
395 genus Avibacterium 0.0
396 genus Azoarcus 0.0
397 genus Azohydromonas 0.0
398 genus Azonexus 0.0
399 genus Azospirillum 0.0
400 genus Azotobacter 0.0
401 genus Azovibrio 0.0
402 genus Bacillus 0.0001
403 genus Bacteriovorax 0.0
404 genus Bacteroides 0.0004
405 genus Barnesiella 0.0
406 genus Bartonella 0.0
407 genus Basfia 0.0
408 genus Bavariicoccus 0.0
409 genus Bdellovibrio 0.0
410 genus Belliella 0.0
411 genus Belnapia 0.0
412 genus Bergeyella 0.0
413 genus Beutenbergia 0.0
414 genus Bhargavaea 0.0
415 genus Bibersteinia 0.0
416 genus Bifidobacterium 0.0
417 genus Bilophila 0.0
418 genus Blautia 0.0
419 genus Bordetella 0.0
420 genus Bosea 0.0001
421 genus Brachybacterium 0.0
422 genus Brachymonas 0.0
423 genus Brachyspira 0.0
424 genus Bradyrhizobium 0.0
425 genus Brevibacillus 0.0
426 genus Brevibacterium 0.0
427 genus Brevundimonas 0.0
428 genus Brochothrix 0.0
429 genus Buchnera 0.0
430 genus Bulleidia 0.0
431 genus Burkholderia 0.0
432 genus Buttiauxella 0.0
433 genus Butyricicoccus 0.0
434 genus Butyricimonas 0.0
435 genus Butyrivibrio 0.0
436 genus Caballeronia 0.0
437 genus Caldanaerobacter 0.0
438 genus Caldanaerobius 0.0
439 genus Caldibacillus 0.0
440 genus Caldicellulosiruptor 0.0
441 genus Caldicoprobacter 0.0
442 genus Caldisalinibacter 0.0
443 genus Calditerricola 0.0
444 genus Calditerrivibrio 0.0
445 genus Caloramator 0.0
446 genus Caloranaerobacter 0.0
447 genus Calothrix 0.0
448 genus Caminibacter 0.0
449 genus Campylobacter 0.0003
450 genus "Candidatus Accumulibacter" 0.0
451 genus "Candidatus Arthromitus" 0.0
452 genus "Candidatus Azobacteroides" 0.0
453 genus "Candidatus Brocadia" 0.0
454 genus "Candidatus Cloacimonas" 0.0
455 genus "Candidatus Desulforudis" 0.0
456 genus "Candidatus Hamiltonella" 0.0
457 genus "Candidatus Jettenia" 0.0
458 genus "Candidatus Liberibacter" 0.0
459 genus "Candidatus Microthrix" 0.0
460 genus "Candidatus Pelagibacter" 0.0
461 genus "Candidatus Photodesmus" 0.0
462 genus "Candidatus Phytoplasma" 0.0
463 genus "Candidatus Soleaferrea" 0.0
464 genus "Candidatus Solibacter" 0.0
465 genus "Candidatus Stoquefichus" 0.0
466 genus "Candidatus Symbiobacter" 0.0
467 genus "Candidatus Symbiothrix" 0.0
468 genus Capnocytophaga 0.0
469 genus Cardiobacterium 0.0
470 genus Carnobacterium 0.0
