	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	[Clostridium] bolteae	[Clostridium] asparagiforme	5.0	13	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
1	[Clostridium] asparagiforme	[Clostridium] bolteae	5.0	10	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
2	[Clostridium] clostridioforme	[Bacteroides] pectinophilus	4.0	16	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
3	[Bacteroides] pectinophilus	[Clostridium] clostridioforme	4.0	12	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
4	[Clostridium] clostridioforme	[Clostridium] bolteae	5.0	16	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
5	[Clostridium] bolteae	[Clostridium] clostridioforme	5.0	13	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
6	[Clostridium] leptum	[Clostridium] asparagiforme	2.0	17	10	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	61
7	[Clostridium] asparagiforme	[Clostridium] leptum	2.0	10	17	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	61
8	[Clostridium] leptum	[Clostridium] clostridioforme	2.0	17	16	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	61
9	[Clostridium] clostridioforme	[Clostridium] leptum	2.0	16	17	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	61
10	[Clostridium] saccharogumia	[Clostridium] citroniae	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
11	[Clostridium] citroniae	[Clostridium] saccharogumia	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
12	[Clostridium] scindens	[Clostridium] citroniae	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
13	[Clostridium] citroniae	[Clostridium] scindens	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
14	[Clostridium] scindens	[Clostridium] saccharogumia	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
15	[Clostridium] saccharogumia	[Clostridium] scindens	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
16	[Clostridium] spiroforme	[Clostridium] asparagiforme	4.0	9	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
17	[Clostridium] asparagiforme	[Clostridium] spiroforme	4.0	10	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
18	[Clostridium] symbiosum	[Clostridium] bolteae	4.0	10	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
19	[Clostridium] bolteae	[Clostridium] symbiosum	4.0	13	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
20	[Clostridium] symbiosum	[Clostridium] methylpentosum	2.0	10	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
21	[Clostridium] methylpentosum	[Clostridium] symbiosum	2.0	5	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
22	[Clostridium] symbiosum	[Clostridium] spiroforme	6.0	10	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
23	[Clostridium] spiroforme	[Clostridium] symbiosum	6.0	9	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
24	[Eubacterium] eligens	[Clostridium] symbiosum	4.0	16	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
25	[Clostridium] symbiosum	[Eubacterium] eligens	4.0	10	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
26	[Eubacterium] hallii	[Clostridium] spiroforme	4.0	12	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
27	[Clostridium] spiroforme	[Eubacterium] hallii	4.0	9	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
