source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Alphaproteobacteria	0	Alphaproteobacteria	Actinobacteria	3.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	8.0	0.0	#7effb5	#8000ff
Actinobacteria	1	Actinobacteria	Alphaproteobacteria	3.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	11.0	0.0	#ded579	#8000ff
Bacilli	2	Bacilli	Actinobacteria	6.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	2.0	1.0	#425ffa	#ff0000
Actinobacteria	3	Actinobacteria	Bacilli	6.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	11.0	0.0	#ded579	#8000ff
Bacilli	4	Bacilli	Alphaproteobacteria	3.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	2.0	1.0	#425ffa	#ff0000
Alphaproteobacteria	5	Alphaproteobacteria	Bacilli	3.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	8.0	0.0	#7effb5	#8000ff
Bacteroidia	6	Bacteroidia	Actinobacteria	8.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	9.0	0.0	#9efaa2	#8000ff
Actinobacteria	7	Actinobacteria	Bacteroidia	8.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	11.0	0.0	#ded579	#8000ff
Bacteroidia	8	Bacteroidia	Alphaproteobacteria	3.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	9.0	0.0	#9efaa2	#8000ff
Alphaproteobacteria	9	Alphaproteobacteria	Bacteroidia	3.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	8.0	0.0	#7effb5	#8000ff
Bacteroidia	10	Bacteroidia	Bacilli	6.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	9.0	0.0	#9efaa2	#8000ff
Bacilli	11	Bacilli	Bacteroidia	6.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	2.0	1.0	#425ffa	#ff0000
Betaproteobacteria	12	Betaproteobacteria	Actinobacteria	7.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	0.0	#218cf4	#8000ff
Actinobacteria	13	Actinobacteria	Betaproteobacteria	7.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	11.0	0.0	#ded579	#8000ff
Betaproteobacteria	14	Betaproteobacteria	Alphaproteobacteria	2.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	3.0	0.0	#218cf4	#8000ff
Alphaproteobacteria	15	Alphaproteobacteria	Betaproteobacteria	2.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	8.0	0.0	#7effb5	#8000ff
Betaproteobacteria	16	Betaproteobacteria	Bacilli	9.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	3.0	0.0	#218cf4	#8000ff
Bacilli	17	Bacilli	Betaproteobacteria	9.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	2.0	1.0	#425ffa	#ff0000
Betaproteobacteria	18	Betaproteobacteria	Bacteroidia	8.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	0.0	#218cf4	#8000ff
Bacteroidia	19	Bacteroidia	Betaproteobacteria	8.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	9.0	0.0	#9efaa2	#8000ff
Chlamydiia	20	Chlamydiia	Actinobacteria	2.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	15.0	0.0	#ff3219	#8000ff
Actinobacteria	21	Actinobacteria	Chlamydiia	2.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	11.0	0.0	#ded579	#8000ff
Chlamydiia	22	Chlamydiia	Bacilli	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	15.0	0.0	#ff3219	#8000ff
Bacilli	23	Bacilli	Chlamydiia	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	2.0	1.0	#425ffa	#ff0000
Chlamydiia	24	Chlamydiia	Bacteroidia	2.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	15.0	0.0	#ff3219	#8000ff
Bacteroidia	25	Bacteroidia	Chlamydiia	2.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	9.0	0.0	#9efaa2	#8000ff
Chlamydiia	26	Chlamydiia	Betaproteobacteria	2.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	15.0	0.0	#ff3219	#8000ff
Betaproteobacteria	27	Betaproteobacteria	Chlamydiia	2.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	3.0	0.0	#218cf4	#8000ff
Clostridia	28	Clostridia	Actinobacteria	4.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2.0	1.0	#425ffa	#ff0000
Actinobacteria	29	Actinobacteria	Clostridia	4.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	11.0	0.0	#ded579	#8000ff
Clostridia	30	Clostridia	Alphaproteobacteria	2.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	2.0	1.0	#425ffa	#ff0000
Alphaproteobacteria	31	Alphaproteobacteria	Clostridia	2.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	8.0	0.0	#7effb5	#8000ff
Clostridia	32	Clostridia	Bacilli	7.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	2.0	1.0	#425ffa	#ff0000
Bacilli	33	Bacilli	Clostridia	7.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	2.0	1.0	#425ffa	#ff0000
Clostridia	34	Clostridia	Bacteroidia	5.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	1.0	#425ffa	#ff0000
Bacteroidia	35	Bacteroidia	Clostridia	5.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	0.0	#9efaa2	#8000ff
