source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcaceae	0	Acidaminococcaceae	Acholeplasmataceae	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Acholeplasmataceae	1	Acholeplasmataceae	Acidaminococcaceae	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Aerococcaceae	2	Aerococcaceae	Actinomycetaceae	2.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	1.0	1.0	#1996f3	#01b3ec
Actinomycetaceae	3	Actinomycetaceae	Aerococcaceae	2.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	1.0	1.0	#1996f3	#01b3ec
Akkermansiaceae	4	Akkermansiaceae	Acidaminococcaceae	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Acidaminococcaceae	5	Acidaminococcaceae	Akkermansiaceae	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
Atopobiaceae	6	Atopobiaceae	Actinomycetaceae	1.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	1.0	1.0	#1996f3	#01b3ec
Actinomycetaceae	7	Actinomycetaceae	Atopobiaceae	1.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	1.0	1.0	#1996f3	#01b3ec
Bacillaceae	8	Bacillaceae	Alcaligenaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#ff964f	#7effb5
Alcaligenaceae	9	Alcaligenaceae	Bacillaceae	1.0	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#ff964f	#7effb5
Bacillaceae	10	Bacillaceae	Atopobiaceae	1.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	4.0	2.0	#ff964f	#7effb5
Atopobiaceae	11	Atopobiaceae	Bacillaceae	1.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	1.0	1.0	#1996f3	#01b3ec
Bacteroidaceae	12	Bacteroidaceae	Acidaminococcaceae	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#4df3ce	#8000ff
