source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcales	0	Acidaminococcales	Acholeplasmatales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Acholeplasmatales	1	Acholeplasmatales	Acidaminococcales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Alteromonadales	2	Alteromonadales	Actinomycetales	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	0.0	2.0	#8000ff	#7effb5
Actinomycetales	3	Actinomycetales	Alteromonadales	1.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	3.0	1.0	#7effb5	#01b3ec
Bacillales	4	Bacillales	Actinomycetales	4.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Actinomycetales	5	Actinomycetales	Bacillales	4.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	3.0	1.0	#7effb5	#01b3ec
Bacteroidales	6	Bacteroidales	Acholeplasmatales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Acholeplasmatales	7	Acholeplasmatales	Bacteroidales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Bacteroidales	8	Bacteroidales	Acidaminococcales	4.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Acidaminococcales	9	Acidaminococcales	Bacteroidales	4.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#7effb5	#8000ff
Bacteroidales	10	Bacteroidales	Actinomycetales	7.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Actinomycetales	11	Actinomycetales	Bacteroidales	7.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	3.0	1.0	#7effb5	#01b3ec
Bacteroidales	12	Bacteroidales	Bacillales	4.0	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	3.0	0.0	#7effb5	#8000ff
Bacillales	13	Bacillales	Bacteroidales	4.0	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	3.0	0.0	#7effb5	#8000ff
Burkholderiales	14	Burkholderiales	Acidaminococcales	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	2.0	1.0	#2adddd	#01b3ec
Acidaminococcales	15	Acidaminococcales	Burkholderiales	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Burkholderiales	16	Burkholderiales	Actinomycetales	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2.0	1.0	#2adddd	#01b3ec
Actinomycetales	17	Actinomycetales	Burkholderiales	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	3.0	1.0	#7effb5	#01b3ec
Burkholderiales	18	Burkholderiales	Bacillales	5.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	2.0	1.0	#2adddd	#01b3ec
Bacillales	19	Bacillales	Burkholderiales	5.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	3.0	0.0	#7effb5	#8000ff
Burkholderiales	20	Burkholderiales	Bacteroidales	4.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	2.0	1.0	#2adddd	#01b3ec
