source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcales	0	Acidaminococcales	Acholeplasmatales	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#feb562	#8000ff
Acholeplasmatales	1	Acholeplasmatales	Acidaminococcales	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	0.0	#feb562	#8000ff
Campylobacterales	2	Campylobacterales	Bacteroidales	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#01b3ec	#1996f3
Bacteroidales	3	Bacteroidales	Campylobacterales	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	1.0	#01b3ec	#1996f3
Coriobacteriales	4	Coriobacteriales	Clostridiales	1.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	1.0	3.0	#01b3ec	#b2f396
Clostridiales	5	Clostridiales	Coriobacteriales	1.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	1.0	3.0	#01b3ec	#b2f396
Erysipelotrichales	6	Erysipelotrichales	Clostridiales	1.0	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	1.0	3.0	#01b3ec	#b2f396
Clostridiales	7	Clostridiales	Erysipelotrichales	1.0	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	1.0	3.0	#01b3ec	#b2f396
Flavobacteriales	8	Flavobacteriales	Campylobacterales	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#01b3ec	#1996f3
Campylobacterales	9	Campylobacterales	Flavobacteriales	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	1.0	1.0	#01b3ec	#1996f3
Fusobacteriales	10	Fusobacteriales	Actinomycetales	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	1.0	1.0	#01b3ec	#1996f3
Actinomycetales	11	Actinomycetales	Fusobacteriales	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	1.0	1.0	#01b3ec	#1996f3
Fusobacteriales	12	Fusobacteriales	Campylobacterales	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	1.0	1.0	#01b3ec	#1996f3
Campylobacterales	13	Campylobacterales	Fusobacteriales	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	1.0	1.0	#01b3ec	#1996f3
Neisseriales	14	Neisseriales	Micrococcales	1.0	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc	0.0	4.0	#8000ff	#ff964f
Micrococcales	15	Micrococcales	Neisseriales	1.0	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc	0.0	4.0	#8000ff	#ff964f
