	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Alphaproteobacteria	Actinobacteria	3.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
1	Actinobacteria	Alphaproteobacteria	3.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
2	Bacilli	Actinobacteria	6.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc
3	Actinobacteria	Bacilli	6.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc
4	Bacilli	Alphaproteobacteria	3.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc
5	Alphaproteobacteria	Bacilli	3.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc
6	Bacteroidia	Actinobacteria	8.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
7	Actinobacteria	Bacteroidia	8.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
8	Bacteroidia	Alphaproteobacteria	3.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc
9	Alphaproteobacteria	Bacteroidia	3.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc
10	Bacteroidia	Bacilli	6.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc
11	Bacilli	Bacteroidia	6.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc
12	Betaproteobacteria	Actinobacteria	7.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
13	Actinobacteria	Betaproteobacteria	7.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
14	Betaproteobacteria	Alphaproteobacteria	2.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
15	Alphaproteobacteria	Betaproteobacteria	2.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
16	Betaproteobacteria	Bacilli	9.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc
17	Bacilli	Betaproteobacteria	9.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc
18	Betaproteobacteria	Bacteroidia	8.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
19	Bacteroidia	Betaproteobacteria	8.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
20	Chlamydiia	Actinobacteria	2.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc
21	Actinobacteria	Chlamydiia	2.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc
22	Chlamydiia	Bacilli	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce
23	Bacilli	Chlamydiia	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce
24	Chlamydiia	Bacteroidia	2.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc
25	Bacteroidia	Chlamydiia	2.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc
26	Chlamydiia	Betaproteobacteria	2.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc
27	Betaproteobacteria	Chlamydiia	2.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc
28	Clostridia	Actinobacteria	4.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
29	Actinobacteria	Clostridia	4.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
30	Clostridia	Alphaproteobacteria	2.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc
31	Alphaproteobacteria	Clostridia	2.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc
32	Clostridia	Bacilli	7.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc
33	Bacilli	Clostridia	7.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc
34	Clostridia	Bacteroidia	5.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
35	Bacteroidia	Clostridia	5.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
36	Clostridia	Betaproteobacteria	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
37	Betaproteobacteria	Clostridia	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
38	Coriobacteriia	Actinobacteria	6.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc
39	Actinobacteria	Coriobacteriia	6.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc
40	Coriobacteriia	Alphaproteobacteria	1.0	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc
41	Alphaproteobacteria	Coriobacteriia	1.0	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc
42	Coriobacteriia	Bacilli	4.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce
