source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Firmicutes	0	Firmicutes	Bacteroidetes	14.0	61	60	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	61	0.0	0.0	#8000ff	#8000ff
Bacteroidetes	1	Bacteroidetes	Firmicutes	14.0	60	61	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	61	2.0	0.0	#4df3ce	#8000ff
Firmicutes	2	Firmicutes	Candidatus Saccharibacteria	6.0	61	28	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	61	0.0	0.0	#8000ff	#8000ff
Candidatus Saccharibacteria	3	Candidatus Saccharibacteria	Firmicutes	6.0	28	61	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	61	4.0	0.0	#ff964f	#8000ff
Proteobacteria	4	Proteobacteria	Bacteroidetes	11.0	60	60	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	61	2.0	1.0	#4df3ce	#ff0000
Bacteroidetes	5	Bacteroidetes	Proteobacteria	11.0	60	60	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	61	2.0	0.0	#4df3ce	#8000ff
Proteobacteria	6	Proteobacteria	Firmicutes	11.0	60	61	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	61	2.0	1.0	#4df3ce	#ff0000
Firmicutes	7	Firmicutes	Proteobacteria	11.0	61	60	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	61	0.0	0.0	#8000ff	#8000ff
Proteobacteria	8	Proteobacteria	Fusobacteria	10.0	60	33	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc	61	2.0	1.0	#4df3ce	#ff0000
Fusobacteria	9	Fusobacteria	Proteobacteria	10.0	33	60	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc	61	1.0	1.0	#1996f3	#ff0000
Spirochaetes	10	Spirochaetes	Firmicutes	4.0	33	61	Subgingival_plaque	Posterior_fornix	Intertype	#e4cf74	#4df3ce	#cccccc	61	3.0	0.0	#b2f396	#8000ff
Firmicutes	11	Firmicutes	Spirochaetes	4.0	61	33	Posterior_fornix	Subgingival_plaque	Intertype	#4df3ce	#e4cf74	#cccccc	61	0.0	0.0	#8000ff	#8000ff
Tenericutes	12	Tenericutes	Bacteroidetes	3.0	21	60	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	61	5.0	0.0	#ff0000	#8000ff
Bacteroidetes	13	Bacteroidetes	Tenericutes	3.0	60	21	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	61	2.0	0.0	#4df3ce	#8000ff
Tenericutes	14	Tenericutes	Candidatus Saccharibacteria	3.0	21	28	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	61	5.0	0.0	#ff0000	#8000ff
Candidatus Saccharibacteria	15	Candidatus Saccharibacteria	Tenericutes	3.0	28	21	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	61	4.0	0.0	#ff964f	#8000ff
Tenericutes	16	Tenericutes	Spirochaetes	3.0	21	33	Posterior_fornix	Subgingival_plaque	Intertype	#4df3ce	#e4cf74	#cccccc	61	5.0	0.0	#ff0000	#8000ff
Spirochaetes	17	Spirochaetes	Tenericutes	3.0	33	21	Subgingival_plaque	Posterior_fornix	Intertype	#e4cf74	#4df3ce	#cccccc	61	3.0	0.0	#b2f396	#8000ff
Verrucomicrobia	18	Verrucomicrobia	Firmicutes	7.0	21	61	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	61	0.0	0.0	#8000ff	#8000ff
Firmicutes	19	Firmicutes	Verrucomicrobia	7.0	61	21	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	61	0.0	0.0	#8000ff	#8000ff
Verrucomicrobia	20	Verrucomicrobia	Tenericutes	2.0	21	21	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	61	0.0	0.0	#8000ff	#8000ff
Tenericutes	21	Tenericutes	Verrucomicrobia	2.0	21	21	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	61	5.0	0.0	#ff0000	#8000ff
