	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Acidaminococcaceae	Acholeplasmataceae	2.0	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
1	Acholeplasmataceae	Acidaminococcaceae	2.0	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
2	Aerococcaceae	Actinomycetaceae	2.0	33	44	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc
3	Actinomycetaceae	Aerococcaceae	2.0	44	33	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc
4	Akkermansiaceae	Acidaminococcaceae	1.0	21	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
5	Acidaminococcaceae	Akkermansiaceae	1.0	7	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
6	Atopobiaceae	Actinomycetaceae	1.0	24	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
7	Actinomycetaceae	Atopobiaceae	1.0	44	24	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
8	Bacillaceae	Alcaligenaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
9	Alcaligenaceae	Bacillaceae	1.0	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
10	Bacillaceae	Atopobiaceae	1.0	22	24	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc
11	Atopobiaceae	Bacillaceae	1.0	24	22	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc
12	Bacteroidaceae	Acidaminococcaceae	2.0	47	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
13	Acidaminococcaceae	Bacteroidaceae	2.0	7	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
14	Bacteroidaceae	Akkermansiaceae	2.0	47	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
15	Akkermansiaceae	Bacteroidaceae	2.0	21	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
16	Bifidobacteriaceae	Atopobiaceae	2.0	33	24	Posterior_fornix	Saliva	Intertype	#4df3ce	#7effb5	#cccccc
17	Atopobiaceae	Bifidobacteriaceae	2.0	24	33	Saliva	Posterior_fornix	Intertype	#7effb5	#4df3ce	#cccccc
18	Bradyrhizobiaceae	Alcaligenaceae	1.0	5	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc
19	Alcaligenaceae	Bradyrhizobiaceae	1.0	1	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc
20	Bradyrhizobiaceae	Bacillaceae	1.0	5	22	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc
21	Bacillaceae	Bradyrhizobiaceae	1.0	22	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc
