source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcus	0	Acidaminococcus	Acholeplasma	2.0	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3
Acholeplasma	1	Acholeplasma	Acidaminococcus	2.0	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3
Aggregatibacter	2	Aggregatibacter	Abiotrophia	7.0	4	29	Mixed	Buccal_mucosa	Intertype	#cccccc	#1996f3	#cccccc	61	7.0	0.0	#7effb5	#8000ff
Abiotrophia	3	Abiotrophia	Aggregatibacter	7.0	29	31	Buccal_mucosa	Mixed	Intertype	#1996f3	#cccccc	#cccccc	61	7.0	0.0	#7effb5	#8000ff
Akkermansia	4	Akkermansia	Acetivibrio	7.0	31	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc
Acetivibrio	5	Acetivibrio	Akkermansia	7.0	13	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc
Alloprevotella	6	Alloprevotella	Actinobacillus	4.0	1	23	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74
Actinobacillus	7	Actinobacillus	Alloprevotella	4.0	10	32	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	61	13.0	0.0	#ff3b1e	#8000ff
Anaeroglobus	8	Anaeroglobus	Abiotrophia	3.0	1	29	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	61	7.0	0.0	#7effb5	#8000ff
Abiotrophia	9	Abiotrophia	Anaeroglobus	3.0	29	9	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	61	7.0	0.0	#7effb5	#8000ff
Anaeroglobus	10	Anaeroglobus	Actinobaculum	3.0	1	10	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	61	7.0	0.0	#7effb5	#8000ff
Actinobaculum	11	Actinobaculum	Anaeroglobus	3.0	25	9	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	61	2.0	0.0	#386df9	#8000ff
Anaeroglobus	12	Anaeroglobus	Aggregatibacter	5.0	1	4	Saliva	Mixed	Intertype	#7effb5	#cccccc	#cccccc	61	7.0	0.0	#7effb5	#8000ff
Aggregatibacter	13	Aggregatibacter	Anaeroglobus	5.0	31	9	Mixed	Saliva	Intertype	#cccccc	#7effb5	#cccccc	61	7.0	0.0	#7effb5	#8000ff
Anaeroglobus	14	Anaeroglobus	Alloprevotella	3.0	1	1	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	61	7.0	0.0	#7effb5	#8000ff
Alloprevotella	15	Alloprevotella	Anaeroglobus	3.0	32	9	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74
Anaerostipes	16	Anaerostipes	Adlercreutzia	4.0	9	39	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc
Adlercreutzia	17	Adlercreutzia	Anaerostipes	4.0	6	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc
Avibacterium	18	Avibacterium	Actinobacillus	2.0	1	23	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	7.0	#ff3b1e	#e4cf74
Actinobacillus	19	Actinobacillus	Avibacterium	2.0	10	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	13.0	0.0	#ff3b1e	#8000ff
Avibacterium	20	Avibacterium	Alloprevotella	2.0	1	1	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74
