TAXA	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Alcaligenaceae	Alteromonadaceae	Atopobiaceae	Aurantimonadaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Brevibacteriaceae	Burkholderiaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Catabacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chlamydiaceae	Chromatiaceae	Chromobacteriaceae	Clostridiaceae	Clostridiales Family XIII. Incertae Sedis	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Cyclobacteriaceae	Cytophagaceae	Dermabacteraceae	Dermacoccaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriaceae	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Halomonadaceae	Helicobacteraceae	Hydrogenophilaceae	Intrasporangiaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Listeriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Moritellaceae	Mycobacteriaceae	Mycoplasmataceae	Neisseriaceae	Nocardiaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Promicromonosporaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Rikenellaceae	Rivulariaceae	Ruminococcaceae	Sanguibacteraceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Sutterellaceae	Synergistaceae	Thermaceae	Thermoactinomycetaceae	Veillonellaceae	Vibrionaceae	Xanthomonadaceae
Acholeplasmataceae	0.0	0.7142712170781376	0.0	0.0	0.21942271674908131	0.0	0.0	0.0	0.0	0.0	0.22782769364620806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11037742490183215	0.0	0.019065601056451047	0.0	0.0	0.0	0.0	0.0	0.031092649525170955	0.0	0.0	0.0	0.0	0.0	0.49920658647234	0.08612474884106741	0.0	0.2224398919489347	0.1931829191147785	0.0	0.027969162249415022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1805207234888231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14756682310390723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13458390578124768	0.0	0.0	0.0	0.0	0.0	0.055304108688729384	0.0	0.0	0.7689425816630935	0.0	0.13336873474025274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcaceae	0.7142712170781376	0.0	0.0	0.0	0.03738052893088463	0.0	0.0	0.0	0.0	0.0	0.42756711008439185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1300340368001862	0.0	0.0	0.0	0.0	0.0	0.0	0.16705559806739795	0.0	0.0	0.19378293221730256	0.0	0.0	0.0	0.0	0.0	0.6158905573085423	0.19778561859289	0.0	0.3310118306961152	0.0	0.0	0.06957125200363314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14388111205723095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05551559760213626	0.0	0.0	0.0	0.033232138650944425	0.0	0.0	0.0	0.11363900657891587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7291680332756254	0.0	0.19166448964150043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01272312033130577	0.0	0.0	0.0	0.0	0.0	0.0
Actinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03174746793241452	0.0	0.0	0.0	0.0	0.04081917484515725	0.0	0.2695035106346381	0.6679129907993633	0.5503362707947486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23987446989545932	0.2825490322520145	0.0	0.5271367756849373	0.0	0.0	0.0	0.42746658086982037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5165656160048037	0.1947642795431399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5202444804797247	0.08546264760583508	0.0912023890822016	0.0	0.0	0.3826815196124365	0.0	0.0	0.0	0.34618919876115517	0.15438348054035575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24590540990401094	0.0	0.3274516934198081	0.0929330980076729	0.0	0.0	0.0	0.199871386040407	0.0	0.0	0.0	0.3391181427352112	0.5820868639371354	0.0	0.0	0.3659242654305209	0.0	0.10282264641247262	0.0	0.0	0.10270392168248081	0.06522236200955354	0.0	0.17185872465832897	0.0	0.0
Aerococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9200796146822806	0.09779083022778345	0.0	0.0	0.0	0.0	0.0	0.0	0.07494198902284373	0.0	0.0	0.0	0.0	0.0	0.07138952659913164	0.0	0.0	0.0	0.0	0.0	0.016137906124903876	0.0	0.0	0.0	0.0	0.0	0.10020990049218002	0.0	0.10513137819684623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18939336792730438	0.0	0.0	0.0	0.0	0.0	0.1717846194497092	0.0	0.0	0.0	0.0	0.1008853635594245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04703512972750774	0.0	0.0	0.0	0.0	0.0	0.0	0.014800482330738548	0.0	0.0	0.022844500103134182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akkermansiaceae	0.21942271674908131	0.03738052893088463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18173349327617588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9621317425581444	0.0	0.0	0.0	0.0	0.09157256422862001	0.0	0.0	0.4085451441254153	0.0	0.0	0.04998057742263907	0.0	0.0	0.10913828971739607	0.06387890324046812	0.8502258086385984	0.03632138728673601	0.07508047977824464	0.0	0.13876402627303822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04777534967586779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3074998091757521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23310487842509361	0.2819791432753379	0.0	0.0	0.0	0.0	0.9670189871452182	0.0	0.0	0.13586285349752109	0.0	0.10649192496432694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0355824203965492	0.0	0.0
Alcaligenaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6334028856690616	0.0	0.0	0.8016283528685411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000001	0.0	0.0	0.0	0.3517805655265303	0.0	0.0	0.0	0.9874813778424141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999986	0.0	0.0	1.000000000000001	0.9991321101744798	0.0	0.0	0.0	0.0	0.0	0.9657028635723626	0.0	0.0	0.052871336329038544	0.0	0.7225335725749922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999999	0.0	0.0	0.0	0.0	0.8887302677564441	0.40669271204200474	0.0	0.0	0.0	0.0	0.0	0.07217505606653167	0.0	0.0	0.0	0.8465000398327762	0.0	0.061835744050287106	0.17024931988624484	0.0	0.0	0.0	0.0	0.0	0.0	0.9997414904170583	0.9879077552047656
Alteromonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0770082293061831	0.0	0.0	0.0	0.0	0.0	0.0	0.09298373752104912	0.0	0.0	0.0	0.0	0.05311489726631333	0.0	0.0	0.0	0.6368765368491077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07672192247989858	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16380541518012726	0.0	0.0	0.026540871374259978	0.0	0.07368831146608687	0.25184771047292054	0.0	0.2821233267444147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06824426800241905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26719348502699625	0.0	0.0
Atopobiaceae	0.0	0.0	0.03174746793241452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9464134403769409	0.0	0.0	0.0	0.10126517056077235	0.0	0.0	0.0	0.0	0.0	0.0	0.6639752853731258	0.0	0.0	0.0	0.07364815236673891	0.0	0.0	0.0	0.0	0.0	0.0	0.16342985085033193	0.0	0.0	0.0	0.0	0.027380842584677482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13788527987824098	0.19962769849323814	0.2090600290171109	0.0	0.0	0.0	0.0	0.0	0.0	0.011706930481053422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018528380158065794	0.0	0.0	0.08477035606316785	0.0	0.13200307622502028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19225485851542506	0.04435183414933125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10311985835477729	0.0	0.0
Aurantimonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41993561480821595	0.0	0.0	0.058078619483320215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000016	0.0	0.0	0.0	0.0	0.15868550502076254	0.0	0.0	0.0	0.0	0.0	0.0	0.07682148897567619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23844515149934847	0.995533704972402	0.0	0.5493604125055846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33980024613721854	0.04082227824409595	0.0	0.0133913092891948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07101657506624028	0.0	0.7790069740135075	0.0	1.0000000000000018	0.0	0.0	0.0	0.9999999999999972	0.0	0.0	0.1291574121427808
Bacillaceae	0.0	0.0	0.0	0.0	0.0	0.6334028856690616	0.0	0.0	0.41993561480821595	0.0	0.0	0.0	0.5351733716115679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6334028856690616	0.41993561480821595	0.0	0.0	0.3338892744877843	0.0	0.13376875848776537	0.0	0.6184506027232712	0.0	0.0	0.0	0.0	0.24781228367521008	0.0	0.0	0.0	0.0	0.0	0.0	0.6334028856690601	0.0	0.41993561480821595	0.6334028856690616	0.6325779045206732	0.0	0.0	0.0	0.0	0.0	0.7208028532314529	0.4141136543178174	0.0	0.3218374878856772	0.0	0.4288267453299878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44978743857653736	0.0	0.6334028856690603	0.0	0.0	0.0	0.0	0.8524095390318345	0.3327135944159762	0.0	0.49567027293679544	0.0	0.0	0.0	0.017960010446925863	0.0	0.0	0.6080793509297678	0.5573376737678634	0.0	0.5391839308954501	0.09759358765894639	0.41993561480821606	0.0	0.0	0.0	0.4199356148082143	0.0	0.6322487715381662	0.6867343632079074
