	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Acholeplasma	Acetivibrio	0.184697587871	3	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
1	Acetivibrio	Acholeplasma	0.184697587871	13	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
2	Acidaminococcus	Acetivibrio	0.149521479287	2	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
3	Acetivibrio	Acidaminococcus	0.149521479287	13	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
4	Acidaminococcus	Acholeplasma	0.809547547485	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
5	Acholeplasma	Acidaminococcus	0.809547547485	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
6	Acinetobacter	Acidovorax	0.498056056186	23	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
7	Acidovorax	Acinetobacter	0.498056056186	11	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
8	Actinobacillus	Abiotrophia	0.022159020756	10	29	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
9	Abiotrophia	Actinobacillus	0.022159020756	29	10	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
10	Actinobaculum	Abiotrophia	0.126319461502	25	29	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
11	Abiotrophia	Actinobaculum	0.126319461502	29	25	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
12	Actinobaculum	Acidovorax	0.050843683642	25	11	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
13	Acidovorax	Actinobaculum	0.050843683642	11	25	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
14	Actinobaculum	Acinetobacter	0.0341965342464	25	23	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
15	Acinetobacter	Actinobaculum	0.0341965342464	23	25	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
16	Actinomyces	Abiotrophia	0.139876497664	39	29	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
17	Abiotrophia	Actinomyces	0.139876497664	29	39	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
18	Actinomyces	Actinobaculum	0.648919421018	39	25	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
19	Actinobaculum	Actinomyces	0.648919421018	25	39	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
20	Adlercreutzia	Acetivibrio	0.61163533801	6	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
21	Acetivibrio	Adlercreutzia	0.61163533801	13	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
22	Adlercreutzia	Acholeplasma	0.104433391891	6	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
23	Acholeplasma	Adlercreutzia	0.104433391891	3	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
24	Adlercreutzia	Acidaminococcus	0.149008440945	6	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
25	Acidaminococcus	Adlercreutzia	0.149008440945	2	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
26	Afipia	Acinetobacter	0.0228630218442	4	23	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc
27	Acinetobacter	Afipia	0.0228630218442	23	4	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc
28	Afipia	Actinomyces	0.109665328357	4	39	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc
29	Actinomyces	Afipia	0.109665328357	39	4	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc
30	Aggregatibacter	Abiotrophia	0.160025593283	31	29	Mixed	Buccal_mucosa	Intertype	#cccccc	#1996f3	#cccccc
31	Abiotrophia	Aggregatibacter	0.160025593283	29	31	Buccal_mucosa	Mixed	Intertype	#1996f3	#cccccc	#cccccc
32	Aggregatibacter	Acidovorax	0.547799373245	31	11	Mixed	Anterior_nares	Intertype	#cccccc	#8000ff	#cccccc
33	Acidovorax	Aggregatibacter	0.547799373245	11	31	Anterior_nares	Mixed	Intertype	#8000ff	#cccccc	#cccccc
34	Aggregatibacter	Actinobacillus	0.0651861067871	31	10	Mixed	Buccal_mucosa	Intertype	#cccccc	#1996f3	#cccccc
35	Actinobacillus	Aggregatibacter	0.0651861067871	10	31	Buccal_mucosa	Mixed	Intertype	#1996f3	#cccccc	#cccccc
36	Aggregatibacter	Actinobaculum	0.223946385418	31	25	Mixed	Supragingival_plaque	Intertype	#cccccc	#ff964f	#cccccc
37	Actinobaculum	Aggregatibacter	0.223946385418	25	31	Supragingival_plaque	Mixed	Intertype	#ff964f	#cccccc	#cccccc
38	Aggregatibacter	Actinomyces	0.203752780771	31	39	Mixed	Supragingival_plaque	Intertype	#cccccc	#ff964f	#cccccc
39	Actinomyces	Aggregatibacter	0.203752780771	39	31	Supragingival_plaque	Mixed	Intertype	#ff964f	#cccccc	#cccccc
40	Akkermansia	Acetivibrio	0.215364150182	21	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
41	Acetivibrio	Akkermansia	0.215364150182	13	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
42	Akkermansia	Acholeplasma	0.221657131694	21	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
43	Acholeplasma	Akkermansia	0.221657131694	3	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
44	Akkermansia	Acidaminococcus	0.0558421892025	21	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
45	Acidaminococcus	Akkermansia	0.0558421892025	2	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
46	Alicycliphilus	Abiotrophia	0.010571895228	1	29	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
47	Abiotrophia	Alicycliphilus	0.010571895228	29	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
48	Alicycliphilus	Acidovorax	0.200912618068	1	11	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc
49	Acidovorax	Alicycliphilus	0.200912618068	11	1	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc
50	Alicycliphilus	Actinobaculum	0.0124367203205	1	25	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
51	Actinobaculum	Alicycliphilus	0.0124367203205	25	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
52	Alicycliphilus	Actinomyces	0.188906816569	1	39	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
53	Actinomyces	Alicycliphilus	0.188906816569	39	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
54	Alistipes	Acetivibrio	0.430329518965	29	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
55	Acetivibrio	Alistipes	0.430329518965	13	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
56	Alistipes	Acholeplasma	0.771954159944	29	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
57	Acholeplasma	Alistipes	0.771954159944	3	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
58	Alistipes	Acidaminococcus	0.789256900498	29	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
59	Acidaminococcus	Alistipes	0.789256900498	2	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
60	Alistipes	Adlercreutzia	0.362532893479	29	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
61	Adlercreutzia	Alistipes	0.362532893479	6	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
62	Alistipes	Akkermansia	0.136817624745	29	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
63	Akkermansia	Alistipes	0.136817624745	21	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
64	Aliterella	Acidovorax	0.473664911143	1	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
65	Acidovorax	Aliterella	0.473664911143	11	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
66	Aliterella	Acinetobacter	0.996168686298	1	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
67	Acinetobacter	Aliterella	0.996168686298	23	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
68	Aliterella	Actinobaculum	0.0441292504322	1	25	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
69	Actinobaculum	Aliterella	0.0441292504322	25	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
70	Alloprevotella	Actinobacillus	0.694964142589	32	10	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc
71	Actinobacillus	Alloprevotella	0.694964142589	10	32	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc
72	Alloprevotella	Aggregatibacter	0.0105758252384	32	31	Attached	Mixed	Intertype	#4e4dfc	#cccccc	#cccccc
73	Aggregatibacter	Alloprevotella	0.0105758252384	31	32	Mixed	Attached	Intertype	#cccccc	#4e4dfc	#cccccc
74	Alysiella	Actinobacillus	0.030222273496	2	10	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc
75	Actinobacillus	Alysiella	0.030222273496	10	2	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc
76	Alysiella	Alloprevotella	0.665574558469	2	32	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc
77	Alloprevotella	Alysiella	0.665574558469	32	2	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc
78	Anaerococcus	Acidovorax	0.594596387597	12	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
79	Acidovorax	Anaerococcus	0.594596387597	11	12	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
80	Anaerococcus	Aggregatibacter	0.311043642739	12	31	Anterior_nares	Mixed	Intertype	#8000ff	#cccccc	#cccccc
81	Aggregatibacter	Anaerococcus	0.311043642739	31	12	Mixed	Anterior_nares	Intertype	#cccccc	#8000ff	#cccccc
82	Anaerofustis	Acetivibrio	0.264728287546	1	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
83	Acetivibrio	Anaerofustis	0.264728287546	13	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
84	Anaerofustis	Adlercreutzia	0.714709200594	1	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
85	Adlercreutzia	Anaerofustis	0.714709200594	6	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
86	Anaerofustis	Alistipes	0.311769116578	1	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
87	Alistipes	Anaerofustis	0.311769116578	29	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
88	Anaeroglobus	Abiotrophia	0.111914228941	9	29	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc
89	Abiotrophia	Anaeroglobus	0.111914228941	29	9	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc
90	Anaeroglobus	Actinobaculum	0.774627581418	9	25	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
91	Actinobaculum	Anaeroglobus	0.774627581418	25	9	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
92	Anaeroglobus	Actinomyces	0.542325149797	9	39	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
93	Actinomyces	Anaeroglobus	0.542325149797	39	9	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
94	Anaerostipes	Acetivibrio	0.586294379114	10	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
95	Acetivibrio	Anaerostipes	0.586294379114	13	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
96	Anaerostipes	Acholeplasma	0.0692857237945	10	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
97	Acholeplasma	Anaerostipes	0.0692857237945	3	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
98	Anaerostipes	Acidaminococcus	0.111275496712	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
99	Acidaminococcus	Anaerostipes	0.111275496712	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
