	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Acidaminococcales	Acholeplasmatales	0.714271217078	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
1	Acholeplasmatales	Acidaminococcales	0.714271217078	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
2	Alteromonadales	Actinomycetales	0.342355500131	8	44	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc
3	Actinomycetales	Alteromonadales	0.342355500131	44	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc
4	Bacillales	Alteromonadales	0.148519637814	53	8	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc
5	Alteromonadales	Bacillales	0.148519637814	8	53	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc
6	Bacteroidales	Acholeplasmatales	0.361953537661	60	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
7	Acholeplasmatales	Bacteroidales	0.361953537661	3	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
8	Bacteroidales	Acidaminococcales	0.439420485717	60	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
9	Acidaminococcales	Bacteroidales	0.439420485717	7	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
10	Burkholderiales	Actinomycetales	0.194140515768	54	44	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
11	Actinomycetales	Burkholderiales	0.194140515768	44	54	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
12	Campylobacterales	Actinomycetales	0.669952653221	37	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
13	Actinomycetales	Campylobacterales	0.669952653221	44	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
14	Campylobacterales	Alteromonadales	0.137945932613	37	8	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc
15	Alteromonadales	Campylobacterales	0.137945932613	8	37	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc
16	Campylobacterales	Bacillales	0.0411637656704	37	53	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc
