"LEVEL" "TAXA" "Anterior_nares_SRR060438" "Anterior_nares_SRR061303" "Anterior_nares_SRR061901" "Anterior_nares_SRR062087" "Anterior_nares_SRR062105" "Anterior_nares_SRR062284" "Anterior_nares_SRR353621" "Attached_SRR062379" "Attached_SRR062432" "Buccal_mucosa_SRR060400" "Buccal_mucosa_SRR061287" "Buccal_mucosa_SRR061357" "Buccal_mucosa_SRR061467" "Buccal_mucosa_SRR062031" "Buccal_mucosa_SRR062039" "Buccal_mucosa_SRR062040" "Buccal_mucosa_SRR063485" "Mid_vagina_SRR062301" "Posterior_fornix_SRR059453" "Posterior_fornix_SRR060412" "Posterior_fornix_SRR061272" "Posterior_fornix_SRR061308" "Posterior_fornix_SRR062046" "Posterior_fornix_SRR062073" "Posterior_fornix_SRR062365" "Posterior_fornix_SRR062534" "Posterior_fornix_SRR063487" "Saliva_SRR062371" "Stool_SRR059367" "Stool_SRR059413" "Stool_SRR059420" "Stool_SRR059854" "Stool_SRR059855" "Stool_SRR060370" "Stool_SRR060371" "Stool_SRR060375" "Stool_SRR060410" "Stool_SRR060443" "Stool_SRR061137" "Stool_SRR061138" "Stool_SRR061231" "Stool_SRR063587" "Stool_SRR346668" "Stool_SRR346703" "Subgingival_plaque_SRR062403" "Subgingival_plaque_SRR346694" "Supragingival_plaque_SRR059815" "Supragingival_plaque_SRR059867" "Supragingival_plaque_SRR059919" "Supragingival_plaque_SRR061365" "Supragingival_plaque_SRR061911" "Supragingival_plaque_SRR062014" "Supragingival_plaque_SRR062052" "Supragingival_plaque_SRR062055" "Throat_SRR062367" "Throat_SRR062368" "Tongue_dorsum_SRR059848" "Tongue_dorsum_SRR059928" "Tongue_dorsum_SRR062053" "Tongue_dorsum_SRR062283" "Tongue_dorsum_SRR062419"
"class" "Acidimicrobiia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Acidithiobacillia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Acidobacteriia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Actinobacteria" 0.2644 0.4341 0.044 0.3611 0.0535 0.0581 0.5775 0.0469 0.048 0.1573 0.1574 0.4052 0.6645 0.2432 0.0533 0.0533 0.6975 0.0283 2e-04 0.1154 0.0778 0.0092 0.89 1e-04 0.0046 0.0015 0.0018 0.1939 0.0011 0.0032 0.0054 0.0045 0.0045 1e-04 1e-04 0.0012 5e-04 7e-04 0.0025 3e-04 0.0095 5e-04 5e-04 5e-04 0.3923 0.2922 0.5894 0.5497 0.4804 0.8679 0.6735 0.484 0.849 0.4938 0.1889 0.0278 0.0808 0.1824 0.435 0.2234 0.1397
"class" "Alphaproteobacteria" 0.006 0.0026 2e-04 0.0061 4e-04 4e-04 0.0101 3e-04 3e-04 1e-04 0.0012 0.0022 0.001 5e-04 1e-04 1e-04 1e-04 0.0012 0 0 2e-04 0.0027 0 0 2e-04 0 3e-04 1e-04 0 0 0 0 0 0 0 0.002 0 3e-04 0 0 0 0 0 0 3e-04 1e-04 0 1e-04 1e-04 1e-04 1e-04 1e-04 0 1e-04 0.0015 0 0 0 0 0 0
"class" "Anaerolineae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Aquificae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Ardenticatenia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Bacilli" 0.0324 0.1707 0.9468 0.1 0.9376 0.388 0.1687 0.3575 0.3544 0.4439 0.2967 0.0916 0.148 0.2115 0.2474 0.2462 0.1363 0.9576 0.9993 0.8714 0.915 0.938 0.0206 0.9985 0.9459 0.9941 0.9943 0.0798 2e-04 0.0014 7e-04 5e-04 5e-04 3e-04 3e-04 2e-04 8e-04 9e-04 0.0011 0.0014 0.0052 2e-04 2e-04 2e-04 0.0165 0.0046 0.0229 0.0131 0.0162 0.0132 0.0558 0.0246 0.0121 0.0231 0.1067 0.0156 0.0759 0.1198 0.214 0.1088 0.0414
"class" "Bacteroidia" 0.0588 0.0119 0.0014 0.074 0.0012 0.0174 0.0064 0.2206 0.2225 0.1086 0.1181 0.011 0.0658 0.0713 0.2336 0.2369 0.0342 4e-04 2e-04 0.0049 0.0014 0.0059 0.0144 1e-04 7e-04 0.0023 0 0.2883 0.7839 0.7442 0.928 0.8104 0.81 0.8504 0.8492 0.738 0.1761 0.6386 0.1344 0.488 0.2178 0.9414 0.8803 0.8789 0.1907 0.3308 0.0834 0.1138 0.176 0.0025 0.0334 0.0385 0.0052 0.0371 0.2088 0.5545 0.4251 0.2521 0.0855 0.3867 0.4495
"class" "Betaproteobacteria" 0.0075 0.0041 7e-04 0.0153 8e-04 0.001 0.021 0.1098 0.1109 0.0235 0.0582 0.2667 0.0243 0.122 0.0283 0.028 0.0304 0.0017 0 0 2e-04 0.0041 3e-04 0 0.0472 0 1e-04 0.0097 0.1726 4e-04 0.0227 0.0026 0.0026 0.0101 0.0102 0 8e-04 0.007 0.0027 0.0061 0.0091 0.0293 0.0124 0.0129 0.0309 0.02 0.0586 0.0339 0.0935 0.0767 0.0434 0.1772 0.0547 0.1894 0.2584 0.1143 0.006 0.0012 0.01 2e-04 0.0079
"class" "Chitinivibrionia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Chlamydiia" 0 0 0 0 0 0 0 3e-04 2e-04 1e-04 0 0 0 0 2e-04 2e-04 0 0 0 0 0 0 5e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Chlorobia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Chloroflexia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Chrysiogenetes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Clostridia" 0.0521 0.0252 6e-04 0.0267 4e-04 0 0.1043 9e-04 8e-04 0.0132 0.0073 0.0034 0.0229 0.0454 0.0026 0.0024 0.0052 1e-04 0 3e-04 0.0025 0.009 8e-04 0.001 3e-04 1e-04 0 0.1298 0.0164 0.2384 0.0266 0.1706 0.1708 0.1321 0.1331 0.0963 0.7903 0.3025 0.8461 0.4634 0.6893 0.0253 0.0987 0.0997 0.0398 0.0356 0.018 0.0174 0.0113 2e-04 0.0102 0.0096 7e-04 0.0088 0.0439 0.0982 0.0347 0.0715 0.0524 0.0763 0.0832
"class" "Coriobacteriia" 0 0 0 0 0 0 0 0 0 6e-04 1e-04 0 0.0016 0.0015 2e-04 1e-04 0.0024 0 0 0.0045 0 2e-04 0.059 0 0 0 0 0.0143 1e-04 0.0033 0.001 7e-04 7e-04 5e-04 5e-04 0.0025 3e-04 2e-04 0.0022 7e-04 0.0047 5e-04 2e-04 2e-04 2e-04 0.0033 0.001 0.0017 0.0015 0 0 1e-04 0 2e-04 0.0034 0.003 7e-04 0.0036 9e-04 0.0096 0.0038
"class" "Cytophagia" 0 0 0 0 0 0 0.0018 1e-04 1e-04 0 0 0 0 0 2e-04 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 1e-04 1e-04 0 0 0 0 0 0 0 0 0 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Deferribacteres" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Dehalococcoidia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Deinococci" 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Deltaproteobacteria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0027 0 0.002 0.002 1e-04 1e-04 4e-04 0 2e-04 6e-04 0.0017 0 0.0014 1e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"class" "Endomicrobia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
