source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Bacillus	0	Bacillus	Actinomyces	3.0	5	6	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Actinomyces	1	Actinomyces	Bacillus	3.0	6	5	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Capnocytophaga	2	Capnocytophaga	Abiotrophia	3.0	4	4	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	7	0.0	0.0	#8000ff	#8000ff
Abiotrophia	3	Abiotrophia	Capnocytophaga	3.0	4	4	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	7	0.0	0.0	#8000ff	#8000ff
Capnocytophaga	4	Capnocytophaga	Akkermansia	3.0	4	4	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	7	0.0	0.0	#8000ff	#8000ff
Akkermansia	5	Akkermansia	Capnocytophaga	3.0	4	4	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	7	0.0	0.0	#8000ff	#8000ff
Gemella	6	Gemella	Bacillus	3.0	6	5	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Bacillus	7	Bacillus	Gemella	3.0	5	6	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Granulicatella	8	Granulicatella	Capnocytophaga	3.0	3	4	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	7	0.0	0.0	#8000ff	#8000ff
Capnocytophaga	9	Capnocytophaga	Granulicatella	3.0	4	3	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	7	0.0	0.0	#8000ff	#8000ff
Haemophilus	10	Haemophilus	Campylobacter	4.0	7	5	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	7	2.0	3.0	#4df3ce	#b2f396
Campylobacter	11	Campylobacter	Haemophilus	4.0	5	7	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	7	2.0	3.0	#4df3ce	#b2f396
Parabacteroides	12	Parabacteroides	Capnocytophaga	3.0	4	4	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	7	0.0	0.0	#8000ff	#8000ff
Capnocytophaga	13	Capnocytophaga	Parabacteroides	3.0	4	4	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	7	0.0	0.0	#8000ff	#8000ff
Prevotella	14	Prevotella	Actinomyces	3.0	7	6	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Actinomyces	15	Actinomyces	Prevotella	3.0	6	7	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Rothia	16	Rothia	Lawsonella	3.0	7	7	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	7	5.0	4.0	#ff0000	#ff964f
Lawsonella	17	Lawsonella	Rothia	3.0	7	7	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	7	5.0	4.0	#ff0000	#ff964f
Ruminococcus	18	Ruminococcus	Anaerococcus	3.0	4	6	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	7	3.0	2.0	#b2f396	#4df3ce
Anaerococcus	19	Anaerococcus	Ruminococcus	3.0	6	4	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	7	3.0	2.0	#b2f396	#4df3ce
Salmonella	20	Salmonella	Bacillus	3.0	4	5	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	7	4.0	1.0	#ff964f	#1996f3
Bacillus	21	Bacillus	Salmonella	3.0	5	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	7	4.0	1.0	#ff964f	#1996f3
Salmonella	22	Salmonella	Gemella	3.0	4	6	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Gemella	23	Gemella	Salmonella	3.0	6	4	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Streptococcus	24	Streptococcus	Pseudomonas	3.0	6	4	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	7	1.0	5.0	#1996f3	#ff0000
Pseudomonas	25	Pseudomonas	Streptococcus	3.0	4	6	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	7	1.0	5.0	#1996f3	#ff0000
Veillonella	26	Veillonella	Bacillus	3.0	6	5	Tongue_dorsum	Anterior_nares	Intertype	#ff0000	#8000ff	#cccccc	7	4.0	1.0	#ff964f	#1996f3
Bacillus	27	Bacillus	Veillonella	3.0	5	6	Anterior_nares	Tongue_dorsum	Intertype	#8000ff	#ff0000	#cccccc	7	4.0	1.0	#ff964f	#1996f3
