source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Actinobaculum	0	Actinobaculum	Abiotrophia	1.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	1.0	0.0	#1996f3	#8000ff
Abiotrophia	1	Abiotrophia	Actinobaculum	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	1.0	0.0	#1996f3	#8000ff
Actinomyces	2	Actinomyces	Abiotrophia	1.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	4.0	2.0	#ff964f	#ff0000
Abiotrophia	3	Abiotrophia	Actinomyces	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	1.0	0.0	#1996f3	#8000ff
Aggregatibacter	4	Aggregatibacter	Abiotrophia	2.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5.0	0.0	#ff0000	#8000ff
Abiotrophia	5	Abiotrophia	Aggregatibacter	2.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	1.0	0.0	#1996f3	#8000ff
Aggregatibacter	6	Aggregatibacter	Actinobacillus	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5.0	0.0	#ff0000	#8000ff
Actinobacillus	7	Actinobacillus	Aggregatibacter	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	2.0	1.0	#4df3ce	#7effb5
Aggregatibacter	8	Aggregatibacter	Actinobaculum	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	5.0	0.0	#ff0000	#8000ff
Actinobaculum	9	Actinobaculum	Aggregatibacter	1.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	1.0	0.0	#1996f3	#8000ff
Alloprevotella	10	Alloprevotella	Actinobacillus	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	2.0	1.0	#4df3ce	#7effb5
Actinobacillus	11	Actinobacillus	Alloprevotella	1.0	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	2.0	1.0	#4df3ce	#7effb5
Atopobium	12	Atopobium	Abiotrophia	1.0	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	4.0	2.0	#ff964f	#ff0000
Abiotrophia	13	Abiotrophia	Atopobium	1.0	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	1.0	0.0	#1996f3	#8000ff
Atopobium	14	Atopobium	Actinobacillus	1.0	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	4.0	2.0	#ff964f	#ff0000
Actinobacillus	15	Actinobacillus	Atopobium	1.0	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	2.0	1.0	#4df3ce	#7effb5
Atopobium	16	Atopobium	Actinomyces	2.0	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	4.0	2.0	#ff964f	#ff0000
Actinomyces	17	Actinomyces	Atopobium	2.0	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	4.0	2.0	#ff964f	#ff0000
