source	Unnamed: 0	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Coriobacteriia	0	Coriobacteriia	Clostridia	1.0	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	4.0	3.0	#7effb5	#feb562
Clostridia	1	Clostridia	Coriobacteriia	1.0	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	6.0	3.0	#feb562	#feb562
Deltaproteobacteria	2	Deltaproteobacteria	Bacteroidia	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
Bacteroidia	3	Bacteroidia	Deltaproteobacteria	1.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
Epsilonproteobacteria	4	Epsilonproteobacteria	Actinobacteria	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5.0	0.0	#beec8e	#8000ff
Actinobacteria	5	Actinobacteria	Epsilonproteobacteria	1.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	7.0	0.0	#ff6232	#8000ff
Epsilonproteobacteria	6	Epsilonproteobacteria	Alphaproteobacteria	1.0	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	5.0	0.0	#beec8e	#8000ff
Alphaproteobacteria	7	Alphaproteobacteria	Epsilonproteobacteria	1.0	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#425ffa	#8000ff
Epsilonproteobacteria	8	Epsilonproteobacteria	Bacteroidia	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	5.0	0.0	#beec8e	#8000ff
Bacteroidia	9	Bacteroidia	Epsilonproteobacteria	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	0.0	1.0	#8000ff	#01b3ec
Fusobacteriia	10	Fusobacteriia	Epsilonproteobacteria	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	5.0	0.0	#beec8e	#8000ff
Epsilonproteobacteria	11	Epsilonproteobacteria	Fusobacteriia	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	5.0	0.0	#beec8e	#8000ff
Mollicutes	12	Mollicutes	Coriobacteriia	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	8.0	3.0	#ff0000	#feb562
Coriobacteriia	13	Coriobacteriia	Mollicutes	1.0	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	4.0	3.0	#7effb5	#feb562
Negativicutes	14	Negativicutes	Betaproteobacteria	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	3.0	2.0	#3febd5	#7effb5
Betaproteobacteria	15	Betaproteobacteria	Negativicutes	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	3.0	2.0	#3febd5	#7effb5
Negativicutes	16	Negativicutes	Epsilonproteobacteria	1.0	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	3.0	2.0	#3febd5	#7effb5
Epsilonproteobacteria	17	Epsilonproteobacteria	Negativicutes	1.0	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	5.0	0.0	#beec8e	#8000ff
Spirochaetia	18	Spirochaetia	Mollicutes	1.0	Subgingival_plaque	Posterior_fornix	Intertype	#e4cf74	#4df3ce	#cccccc	8.0	3.0	#ff0000	#feb562
Mollicutes	19	Mollicutes	Spirochaetia	1.0	Posterior_fornix	Subgingival_plaque	Intertype	#4df3ce	#e4cf74	#cccccc	8.0	3.0	#ff0000	#feb562
Verrucomicrobiae	20	Verrucomicrobiae	Cytophagia	1.0	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	2.0	4.0	#01b3ec	#ff0000
Cytophagia	21	Cytophagia	Verrucomicrobiae	1.0	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	2.0	4.0	#01b3ec	#ff0000
