source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcaceae	0	Acidaminococcaceae	Acholeplasmataceae	2.0	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	4.0	0.0	#01b3ec	#8000ff
Acholeplasmataceae	1	Acholeplasmataceae	Acidaminococcaceae	2.0	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	15.0	0.0	#ff3219	#8000ff
Bacillaceae	2	Bacillaceae	Alcaligenaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Alcaligenaceae	3	Alcaligenaceae	Bacillaceae	1.0	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Bifidobacteriaceae	4	Bifidobacteriaceae	Atopobiaceae	2.0	33	24	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	61	16.0	6.0	#ff0000	#d4dd80
Atopobiaceae	5	Atopobiaceae	Bifidobacteriaceae	2.0	24	33	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	61	16.0	6.0	#ff0000	#d4dd80
Bradyrhizobiaceae	6	Bradyrhizobiaceae	Alcaligenaceae	1.0	5	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Alcaligenaceae	7	Alcaligenaceae	Bradyrhizobiaceae	1.0	1	5	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Campylobacteraceae	8	Campylobacteraceae	Actinomycetaceae	8.0	37	44	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Actinomycetaceae	9	Actinomycetaceae	Campylobacteraceae	8.0	44	37	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Cardiobacteriaceae	10	Cardiobacteriaceae	Burkholderiaceae	4.0	20	37	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	2.0	1.0	#425ffa	#4856fb
Burkholderiaceae	11	Burkholderiaceae	Cardiobacteriaceae	4.0	37	20	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	2.0	1.0	#425ffa	#4856fb
Chromatiaceae	12	Chromatiaceae	Alcaligenaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Alcaligenaceae	13	Alcaligenaceae	Chromatiaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Chromatiaceae	14	Chromatiaceae	Bacillaceae	1.0	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Bacillaceae	15	Bacillaceae	Chromatiaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
Chromatiaceae	16	Chromatiaceae	Bradyrhizobiaceae	1.0	1	5	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
