	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Acidaminococcales	Acholeplasmatales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
1	Acholeplasmatales	Acidaminococcales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
2	Alteromonadales	Actinomycetales	1.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
3	Actinomycetales	Alteromonadales	1.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
4	Bacillales	Actinomycetales	4.0	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
5	Actinomycetales	Bacillales	4.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
6	Bacteroidales	Acholeplasmatales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
7	Acholeplasmatales	Bacteroidales	2.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
8	Bacteroidales	Acidaminococcales	4.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
9	Acidaminococcales	Bacteroidales	4.0	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
10	Bacteroidales	Actinomycetales	7.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
11	Actinomycetales	Bacteroidales	7.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
12	Bacteroidales	Bacillales	4.0	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc
13	Bacillales	Bacteroidales	4.0	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc
14	Burkholderiales	Acidaminococcales	1.0	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
15	Acidaminococcales	Burkholderiales	1.0	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
16	Burkholderiales	Actinomycetales	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
17	Actinomycetales	Burkholderiales	2.0	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
18	Burkholderiales	Bacillales	5.0	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
