	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Acidaminococcaceae	Acholeplasmataceae	2.0	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
1	Acholeplasmataceae	Acidaminococcaceae	2.0	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
2	Bacillaceae	Alcaligenaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
3	Alcaligenaceae	Bacillaceae	1.0	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
4	Bifidobacteriaceae	Atopobiaceae	2.0	33	24	Posterior_fornix	Saliva	Intertype	#4df3ce	#7effb5	#cccccc	61
5	Atopobiaceae	Bifidobacteriaceae	2.0	24	33	Saliva	Posterior_fornix	Intertype	#7effb5	#4df3ce	#cccccc	61
6	Bradyrhizobiaceae	Alcaligenaceae	1.0	5	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
7	Alcaligenaceae	Bradyrhizobiaceae	1.0	1	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
8	Campylobacteraceae	Actinomycetaceae	8.0	37	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	61
9	Actinomycetaceae	Campylobacteraceae	8.0	44	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	61
10	Cardiobacteriaceae	Burkholderiaceae	4.0	37	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61
11	Burkholderiaceae	Cardiobacteriaceae	4.0	37	20	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61
12	Chromatiaceae	Alcaligenaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
13	Alcaligenaceae	Chromatiaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
14	Chromatiaceae	Bacillaceae	1.0	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
15	Bacillaceae	Chromatiaceae	1.0	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
16	Chromatiaceae	Bradyrhizobiaceae	1.0	1	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
17	Bradyrhizobiaceae	Chromatiaceae	1.0	5	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
18	Chromobacteriaceae	Aurantimonadaceae	1.0	8	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
19	Aurantimonadaceae	Chromobacteriaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
20	Clostridiaceae	Catabacteriaceae	1.0	1	36	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
21	Catabacteriaceae	Clostridiaceae	1.0	1	33	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
22	Coriobacteriaceae	Akkermansiaceae	5.0	33	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
23	Akkermansiaceae	Coriobacteriaceae	5.0	21	17	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
24	Dermacoccaceae	Actinomycetaceae	5.0	2	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	61
25	Actinomycetaceae	Dermacoccaceae	5.0	44	12	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	61
26	Dermacoccaceae	Clostridiales Family XIII. Incertae Sedis	4.0	2	1	Saliva	Tongue_dorsum	Intertype	#7effb5	#ff0000	#cccccc	61
27	Clostridiales Family XIII. Incertae Sedis	Dermacoccaceae	4.0	27	12	Tongue_dorsum	Saliva	Intertype	#ff0000	#7effb5	#cccccc	61
28	Erysipelotrichaceae	Atopobiaceae	4.0	12	24	Throat	Saliva	Intertype	#ff5029	#7effb5	#cccccc	61
29	Atopobiaceae	Erysipelotrichaceae	4.0	24	41	Saliva	Throat	Intertype	#7effb5	#ff5029	#cccccc	61
30	Erysipelotrichaceae	Clostridiales Family XIII. Incertae Sedis	5.0	12	1	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	61
31	Clostridiales Family XIII. Incertae Sedis	Erysipelotrichaceae	5.0	27	41	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	61
32	Erythrobacteraceae	Carnobacteriaceae	2.0	13	20	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	61
33	Carnobacteriaceae	Erythrobacteraceae	2.0	36	13	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	61
