source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Alphaproteobacteria	0	Alphaproteobacteria	Actinobacteria	3.0	34	61	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	0.0	0.0	#8000ff	#8000ff
Actinobacteria	1	Actinobacteria	Alphaproteobacteria	3.0	61	34	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	15.0	0.0	#ff3219	#8000ff
Bacilli	2	Bacilli	Actinobacteria	6.0	61	61	Mid_vagina	Supragingival_plaque	Intertype	#18cde4	#ff964f	#cccccc	2.0	1.0	#425ffa	#ff0000
Actinobacteria	3	Actinobacteria	Bacilli	6.0	61	61	Supragingival_plaque	Mid_vagina	Intertype	#ff964f	#18cde4	#cccccc	15.0	0.0	#ff3219	#8000ff
Bacilli	4	Bacilli	Alphaproteobacteria	3.0	61	34	Mid_vagina	Anterior_nares	Intertype	#18cde4	#8000ff	#cccccc	2.0	1.0	#425ffa	#ff0000
Alphaproteobacteria	5	Alphaproteobacteria	Bacilli	3.0	34	61	Anterior_nares	Mid_vagina	Intertype	#8000ff	#18cde4	#cccccc	0.0	0.0	#8000ff	#8000ff
Bacteroidia	6	Bacteroidia	Actinobacteria	8.0	60	61	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	4.0	0.0	#01b3ec	#8000ff
Actinobacteria	7	Actinobacteria	Bacteroidia	8.0	61	60	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	15.0	0.0	#ff3219	#8000ff
Bacteroidia	8	Bacteroidia	Alphaproteobacteria	3.0	60	34	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	4.0	0.0	#01b3ec	#8000ff
Alphaproteobacteria	9	Alphaproteobacteria	Bacteroidia	3.0	34	60	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	0.0	0.0	#8000ff	#8000ff
Bacteroidia	10	Bacteroidia	Bacilli	6.0	60	61	Stool	Mid_vagina	Intertype	#b2f396	#18cde4	#cccccc	4.0	0.0	#01b3ec	#8000ff
Bacilli	11	Bacilli	Bacteroidia	6.0	61	60	Mid_vagina	Stool	Intertype	#18cde4	#b2f396	#cccccc	2.0	1.0	#425ffa	#ff0000
Betaproteobacteria	12	Betaproteobacteria	Actinobacteria	7.0	56	61	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	5.0	0.0	#1fd3e1	#8000ff
Actinobacteria	13	Actinobacteria	Betaproteobacteria	7.0	61	56	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	15.0	0.0	#ff3219	#8000ff
Betaproteobacteria	14	Betaproteobacteria	Alphaproteobacteria	2.0	56	34	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	5.0	0.0	#1fd3e1	#8000ff
Alphaproteobacteria	15	Alphaproteobacteria	Betaproteobacteria	2.0	34	56	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	0.0	0.0	#8000ff	#8000ff
Betaproteobacteria	16	Betaproteobacteria	Bacilli	9.0	56	61	Throat	Mid_vagina	Intertype	#ff5029	#18cde4	#cccccc	5.0	0.0	#1fd3e1	#8000ff
Bacilli	17	Bacilli	Betaproteobacteria	9.0	61	56	Mid_vagina	Throat	Intertype	#18cde4	#ff5029	#cccccc	2.0	1.0	#425ffa	#ff0000
Betaproteobacteria	18	Betaproteobacteria	Bacteroidia	8.0	56	60	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	5.0	0.0	#1fd3e1	#8000ff
Bacteroidia	19	Bacteroidia	Betaproteobacteria	8.0	60	56	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	4.0	0.0	#01b3ec	#8000ff
Chlamydiia	20	Chlamydiia	Actinobacteria	2.0	8	61	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	11.0	0.0	#ded579	#8000ff
Actinobacteria	21	Actinobacteria	Chlamydiia	2.0	61	8	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	15.0	0.0	#ff3219	#8000ff
Chlamydiia	22	Chlamydiia	Bacilli	1.0	8	61	Attached	Mid_vagina	Intertype	#4e4dfc	#18cde4	#cccccc	11.0	0.0	#ded579	#8000ff
