source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcus	0	Acidaminococcus	Acholeplasma	2.0	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	1.0	#4df3ce	#2adddd
Acholeplasma	1	Acholeplasma	Acidaminococcus	2.0	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	1.0	#4df3ce	#2adddd
Actinobacillus	2	Actinobacillus	Abiotrophia	1.0	10	29	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	3.0	0.0	#b2f396	#8000ff
Abiotrophia	3	Abiotrophia	Actinobacillus	1.0	29	10	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	2.0	0.0	#4df3ce	#8000ff
Actinobaculum	4	Actinobaculum	Abiotrophia	3.0	25	29	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	2.0	0.0	#4df3ce	#8000ff
Abiotrophia	5	Abiotrophia	Actinobaculum	3.0	29	25	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	2.0	0.0	#4df3ce	#8000ff
Actinomyces	6	Actinomyces	Abiotrophia	2.0	39	29	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	2.0	0.0	#4df3ce	#8000ff
Abiotrophia	7	Abiotrophia	Actinomyces	2.0	29	39	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	2.0	0.0	#4df3ce	#8000ff
Actinomyces	8	Actinomyces	Acidovorax	1.0	39	11	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	2.0	0.0	#4df3ce	#8000ff
Acidovorax	9	Acidovorax	Actinomyces	1.0	11	39	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	2.0	2.0	#4df3ce	#d4dd80
