TAXA	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Chlamydiia	Clostridia	Coriobacteriia	Cytophagia	Deinococci	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Mollicutes	Negativicutes	Sphingobacteriia	Spirochaetia	Synergistia	Tissierellia	Verrucomicrobiae
Actinobacteria	0.0	0.19224548577059425	0.0	0.0	0.23409114041105253	0.11510826133681423	0.0	0.32203146075834793	0.1435233392874486	0.018160821250495403	0.0	0.30764895725925656	0.0	0.4763681816069017	0.25293837971768385	0.0	0.09460179393075067	0.0	0.06530809640757057	0.16989973870336406	0.09297488292065603	0.05741172117604759	0.0
Alphaproteobacteria	0.19224548577059425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6906006292921876	0.0	0.0	0.0	0.0	0.0	0.0	0.1628212256714142	0.0	0.0	0.5287662512156933	0.0	0.0	0.5354667395241134	0.08372486171882601
Bacilli	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11270501536541307	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroidia	0.0	0.0	0.0	0.0	0.0	0.0	0.1935735942119026	0.0	0.0	0.0	0.5115186674800103	0.0	0.22061123249999368	0.0	0.0	0.0	0.0	0.049004119139224867	0.0	0.0	0.0	0.0	0.3516024855041163
Betaproteobacteria	0.23409114041105253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1735468145777051	0.0	0.27539760981661676	0.0701612633910422	0.38822549101858145	0.22159295966567633	0.0723848123595238	0.0	0.061881048698796313	0.0	0.03230110193696705	0.0	0.0	0.0
Chlamydiia	0.11510826133681423	0.0	0.0	0.0	0.0	0.0	0.0	0.6458777202837719	0.043318381892082675	0.0	0.0	0.0	0.0	0.0	0.0	0.21801149774244147	0.0	0.14221969875474785	0.0	0.0	0.0	0.0	0.0
Clostridia	0.0	0.0	0.0	0.1935735942119026	0.0	0.0	0.0	0.0	0.0	0.0	0.301454177942822	0.0	0.18113899384733026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1150847850788683
Coriobacteriia	0.32203146075834793	0.0	0.0	0.0	0.0	0.6458777202837719	0.0	0.0	0.0	0.0	0.0	0.07901058255713467	0.03373192834819783	0.0	0.035087382863219566	0.0	0.0	0.1074113665343546	0.0	0.0	0.0	0.0	0.0
Cytophagia	0.1435233392874486	0.6906006292921876	0.0	0.0	0.0	0.043318381892082675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1247447722659551	0.0	0.0	0.0	0.0	0.0	0.0	0.04703944931458843
Deinococci	0.018160821250495403	0.0	0.0	0.0	0.1735468145777051	0.0	0.0	0.0	0.0	0.0	0.0	0.22771986636291697	0.0	0.0	0.07492393520903307	0.1666926994256064	0.2051241082731759	0.025951966083598958	0.0	0.0	0.0	0.0	0.0
Deltaproteobacteria	0.0	0.0	0.0	0.5115186674800103	0.0	0.0	0.301454177942822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10901814865040955
Epsilonproteobacteria	0.30764895725925656	0.0	0.0	0.0	0.27539760981661676	0.0	0.0	0.07901058255713467	0.0	0.22771986636291697	0.0	0.0	0.28299060842940327	0.45433131957855083	0.5069988079115277	0.0	0.33267687645882266	0.4687713581156829	0.0	0.4807720800175581	0.14716752350010334	0.0	0.0
Erysipelotrichia	0.0	0.0	0.0	0.22061123249999368	0.0701612633910422	0.0	0.18113899384733026	0.03373192834819783	0.0	0.0	0.0	0.28299060842940327	0.0	0.0	0.26089238089056216	0.0	0.0	0.16562272557187885	0.0	0.04270195553379989	0.0	0.0	0.07628659425205468
Flavobacteriia	0.4763681816069017	0.0	0.0	0.0	0.38822549101858145	0.0	0.0	0.0	0.0	0.0	0.0	0.45433131957855083	0.0	0.0	0.29980387962724	0.0	0.21150326720470908	0.0	0.0	0.2435454143809117	0.1346784604488573	0.0	0.0
Fusobacteriia	0.25293837971768385	0.0	0.0	0.0	0.22159295966567633	0.0	0.0	0.035087382863219566	0.0	0.07492393520903307	0.0	0.5069988079115277	0.26089238089056216	0.29980387962724	0.0	0.08271618095086325	0.018797761061204926	0.545204860119663	0.0	0.07333496596037793	0.0	0.0	0.0
Gammaproteobacteria	0.0	0.1628212256714142	0.0	0.0	0.0723848123595238	0.21801149774244147	0.0	0.0	0.1247447722659551	0.1666926994256064	0.0	0.0	0.0	0.0	0.08271618095086325	0.0	0.0	0.04723743304769821	0.10017830112315684	0.0	0.0	0.0	0.0
Mollicutes	0.09460179393075067	0.0	0.11270501536541307	0.0	0.0	0.0	0.0	0.0	0.0	0.2051241082731759	0.0	0.33267687645882266	0.0	0.21150326720470908	0.018797761061204926	0.0	0.0	0.0	0.0	0.5539223608132372	0.6002579168415031	0.0	0.0
Negativicutes	0.0	0.0	0.0	0.049004119139224867	0.061881048698796313	0.14221969875474785	0.0	0.1074113665343546	0.0	0.025951966083598958	0.0	0.4687713581156829	0.16562272557187885	0.0	0.545204860119663	0.04723743304769821	0.0	0.0	0.0	0.0	0.0	0.0	0.03062182039491061
Sphingobacteriia	0.06530809640757057	0.5287662512156933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10017830112315684	0.0	0.0	0.0	0.0	0.0	0.6990222863451989	0.0
Spirochaetia	0.16989973870336406	0.0	0.0	0.0	0.03230110193696705	0.0	0.0	0.0	0.0	0.0	0.0	0.4807720800175581	0.04270195553379989	0.2435454143809117	0.07333496596037793	0.0	0.5539223608132372	0.0	0.0	0.0	0.6646687686867226	0.0	0.0
Synergistia	0.09297488292065603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14716752350010334	0.0	0.1346784604488573	0.0	0.0	0.6002579168415031	0.0	0.0	0.6646687686867226	0.0	0.0	0.0
Tissierellia	0.05741172117604759	0.5354667395241134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6990222863451989	0.0	0.0	0.0	0.0
Verrucomicrobiae	0.0	0.08372486171882601	0.0	0.3516024855041163	0.0	0.0	0.1150847850788683	0.0	0.04703944931458843	0.0	0.10901814865040955	0.0	0.07628659425205468	0.0	0.0	0.0	0.0	0.03062182039491061	0.0	0.0	0.0	0.0	0.0
