	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Alphaproteobacteria	Actinobacteria	0.192245485771	34	61	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
1	Actinobacteria	Alphaproteobacteria	0.192245485771	61	34	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
2	Betaproteobacteria	Actinobacteria	0.234091140411	56	61	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc
3	Actinobacteria	Betaproteobacteria	0.234091140411	61	56	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc
4	Chlamydiia	Actinobacteria	0.115108261337	8	61	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc
5	Actinobacteria	Chlamydiia	0.115108261337	61	8	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc
6	Clostridia	Bacteroidia	0.193573594212	58	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
7	Bacteroidia	Clostridia	0.193573594212	60	58	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
8	Coriobacteriia	Actinobacteria	0.322031460758	41	61	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
9	Actinobacteria	Coriobacteriia	0.322031460758	61	41	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
10	Coriobacteriia	Chlamydiia	0.645877720284	41	8	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc
11	Chlamydiia	Coriobacteriia	0.645877720284	8	41	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc
12	Cytophagia	Actinobacteria	0.143523339287	9	61	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
13	Actinobacteria	Cytophagia	0.143523339287	61	9	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
14	Cytophagia	Alphaproteobacteria	0.690600629292	9	34	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
15	Alphaproteobacteria	Cytophagia	0.690600629292	34	9	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
16	Cytophagia	Chlamydiia	0.0433183818921	9	8	Anterior_nares	Attached	Intertype	#8000ff	#4e4dfc	#cccccc
17	Chlamydiia	Cytophagia	0.0433183818921	8	9	Attached	Anterior_nares	Intertype	#4e4dfc	#8000ff	#cccccc
18	Deinococci	Actinobacteria	0.0181608212505	1	61	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
19	Actinobacteria	Deinococci	0.0181608212505	61	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
20	Deinococci	Betaproteobacteria	0.173546814578	1	56	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc
21	Betaproteobacteria	Deinococci	0.173546814578	56	1	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc
22	Deltaproteobacteria	Bacteroidia	0.51151866748	13	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
