TAXA	Acholeplasmataceae	Acidaminococcaceae	Aerococcaceae	Akkermansiaceae	Alcaligenaceae	Alteromonadaceae	Aurantimonadaceae	Bacillaceae	Bradyrhizobiaceae	Brevibacteriaceae	Cardiobacteriaceae	Catabacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chlamydiaceae	Chromatiaceae	Chromobacteriaceae	Clostridiaceae	Clostridiales Family XIII. Incertae Sedis	Comamonadaceae	Coriobacteriaceae	Cyclobacteriaceae	Cytophagaceae	Dermabacteraceae	Dermacoccaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erythrobacteraceae	Eubacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Halomonadaceae	Helicobacteraceae	Hydrogenophilaceae	Intrasporangiaceae	Leuconostocaceae	Listeriaceae	Methylobacteriaceae	Microbacteriaceae	Moritellaceae	Mycobacteriaceae	Mycoplasmataceae	Nocardiaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Peptococcaceae	Planococcaceae	Prolixibacteraceae	Promicromonosporaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Rivulariaceae	Sanguibacteraceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Staphylococcaceae	Streptomycetaceae	Synergistaceae	Thermaceae	Thermoactinomycetaceae	Vibrionaceae	Xanthomonadaceae
Acholeplasmataceae	0.0	0.7142712170781376	0.0	0.21942271674908131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11037742490183215	0.0	0.019065601056451047	0.0	0.0	0.0	0.0	0.0	0.031092649525170955	0.0	0.0	0.0	0.0	0.49920658647234	0.08612474884106741	0.0	0.2224398919489347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055304108688729384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcaceae	0.7142712170781376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1300340368001862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19378293221730256	0.0	0.0	0.0	0.0	0.6158905573085423	0.19778561859289	0.0	0.3310118306961152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033232138650944425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9200796146822806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akkermansiaceae	0.21942271674908131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9670189871452182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alcaligenaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6334028856690616	0.8016283528685411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000001	0.0	0.0	0.0	0.3517805655265303	0.0	0.0	0.9874813778424141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999986	0.0	0.0	1.000000000000001	0.9991321101744798	0.0	0.0	0.9657028635723626	0.0	0.0	0.7225335725749922	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999999	0.0	0.0	0.8887302677564441	0.40669271204200474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8465000398327762	0.0	0.0	0.0	0.0	0.0	0.0	0.9997414904170583	0.9879077552047656
Alteromonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0770082293061831	0.0	0.0	0.0	0.0	0.0	0.09298373752104912	0.0	0.0	0.0	0.0	0.0	0.0	0.6368765368491077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2821233267444147	0.0	0.0	0.0	0.0	0.0	0.0	0.06824426800241905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aurantimonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41993561480821595	0.058078619483320215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07682148897567619	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000016	0.0	0.0	0.0	0.0	0.23844515149934847	0.995533704972402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0133913092891948	0.0	0.0	0.0	0.0	0.0	0.07101657506624028	0.0	0.7790069740135075	1.0000000000000018	0.0	0.0	0.9999999999999972	0.0	0.1291574121427808
Bacillaceae	0.0	0.0	0.0	0.0	0.6334028856690616	0.0	0.41993561480821595	0.0	0.5351733716115679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6334028856690616	0.41993561480821595	0.0	0.0	0.0	0.0	0.0	0.6184506027232712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6334028856690601	0.0	0.41993561480821595	0.6334028856690616	0.6325779045206732	0.0	0.0	0.7208028532314529	0.4141136543178174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6334028856690603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41993561480821606	0.0	0.0	0.4199356148082143	0.0	0.0
Bradyrhizobiaceae	0.0	0.0	0.0	0.0	0.8016283528685411	0.0	0.058078619483320215	0.5351733716115679	0.0	0.0	0.0	0.0	0.17639447676819586	0.0	0.0	0.0	0.8016283528685411	0.05807861948332021	0.0	0.0	0.0	0.0	0.0	0.7848779120898195	0.27676971753779683	0.13272697131720337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.801628352868539	0.0	0.05807861948332021	0.8016283528685411	0.8221298350317675	0.0	0.0	0.8072101521876274	0.05308893910882247	0.0	0.732342727545196	0.0	0.2351272169230315	0.0	0.22579229793448946	0.17639447676819586	0.0	0.8016283528685393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8235699126493932	0.0	0.0	0.05807861948332022	0.014340399872424699	0.0	0.05807861948331967	0.8005765306814487	0.807274673344898
Brevibacteriaceae	0.0	0.0	0.9200796146822806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024092403707518775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017534956806479072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
