	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Acidaminococcaceae	Acholeplasmataceae	0.714271217078	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
1	Acholeplasmataceae	Acidaminococcaceae	0.714271217078	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
2	Akkermansiaceae	Acholeplasmataceae	0.219422716749	33	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
3	Acholeplasmataceae	Akkermansiaceae	0.219422716749	3	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
4	Bacillaceae	Alcaligenaceae	0.633402885669	24	21	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
5	Alcaligenaceae	Bacillaceae	0.633402885669	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
6	Bacillaceae	Aurantimonadaceae	0.419935614808	24	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
7	Aurantimonadaceae	Bacillaceae	0.419935614808	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
8	Bradyrhizobiaceae	Alcaligenaceae	0.801628352869	1	21	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
9	Alcaligenaceae	Bradyrhizobiaceae	0.801628352869	1	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
10	Bradyrhizobiaceae	Aurantimonadaceae	0.0580786194833	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
11	Aurantimonadaceae	Bradyrhizobiaceae	0.0580786194833	1	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
12	Bradyrhizobiaceae	Bacillaceae	0.535173371612	1	24	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
13	Bacillaceae	Bradyrhizobiaceae	0.535173371612	22	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
14	Brevibacteriaceae	Aerococcaceae	0.920079614682	22	44	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	61
15	Aerococcaceae	Brevibacteriaceae	0.920079614682	33	1	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	61
16	Catabacteriaceae	Acidaminococcaceae	0.1300340368	33	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
17	Acidaminococcaceae	Catabacteriaceae	0.1300340368	7	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
18	Caulobacteraceae	Bradyrhizobiaceae	0.176394476768	5	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
19	Bradyrhizobiaceae	Caulobacteraceae	0.176394476768	5	2	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	61
20	Cellulomonadaceae	Acholeplasmataceae	0.110377424902	1	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
21	Acholeplasmataceae	Cellulomonadaceae	0.110377424902	3	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
22	Chlamydiaceae	Acholeplasmataceae	0.0190656010565	37	3	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	61
23	Acholeplasmataceae	Chlamydiaceae	0.0190656010565	3	8	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	61
24	Chromatiaceae	Alcaligenaceae	1.0	20	21	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
25	Alcaligenaceae	Chromatiaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
