TAXA	Abiotrophia	Acetivibrio	Acholeplasma	Acidaminococcus	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Adlercreutzia	Aerococcus	Afipia	Aggregatibacter	Akkermansia	Alicycliphilus	Aliterella	Alysiella	Amphibacillus	Anaerococcus	Anaerofustis	Anaeroglobus	Anaerostipes	Anaerotruncus	Arcanobacterium	Arthrobacter	Atopobacter	Atopobium	Aureimonas	Avibacterium	Azohydromonas	Bacillus	Barnesiella	Basfia	Bergeyella	Bibersteinia	Bifidobacterium	Bilophila	Blautia	Bosea	Bradyrhizobium	Brevibacterium	Brevundimonas	Brochothrix	Bulleidia	Burkholderia	Butyricicoccus	Butyricimonas	Butyrivibrio	Calothrix	Campylobacter	Cardiobacterium	Carnobacterium	Catabacter	Catenibacterium	Catonella	Cellulomonas	Centipeda	Chlamydia	Chryseobacterium	Citrobacter	Clostridium	Collinsella	Comamonas	Conchiformibius	Coprobacillus	Coprobacter	Coprococcus	Crocosphaera	Cryptobacterium	Cupriavidus	Dechloromonas	Dehalobacter	Delftia	Desulfotomaculum	Desulfovibrio	Dialister	Dielma	Dorea	Dysgonomonas	Echinicola	Eggerthella	Eggerthia	Eikenella	Elizabethkingia	Enhydrobacter	Enterobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Escherichia	Eubacterium	Exiguobacterium	Facklamia	Faecalicoccus	Faecalitalea	Fenollaria	Filifactor	Finegoldia	Flavobacterium	Flavonifractor	Fusobacterium	Gallibacterium	Gordonibacter	Granulicatella	Gulbenkiania	Hallella	Helicobacter	Herbaspirillum	Histophilus	Holdemanella	Holdemania	Hungatella	Intestinimonas	Isoptericola	Janibacter	Johnsonella	Kandleria	Klebsiella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lactococcus	Lawsonella	Lelliottia	Leptotrichia	Leucobacter	Leuconostoc	Levyella	Mageeibacillus	Mangrovimonas	Mannheimia	Marvinbryantia	Megamonas	Megasphaera	Methylobacterium	Microbacterium	Micrococcus	Microvirga	Mitsuokella	Mobiluncus	Modestobacter	Mogibacterium	Moritella	Morococcus	Mycobacterium	Mycoplasma	Necropsobacter	Neisseria	Nocardia	Nosocomiicoccus	Novosphingobium	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Ottowia	Oxalobacter	Paenibacillus	Paracoccus	Paraprevotella	Parasutterella	Parvimonas	Pasteurella	Pectobacterium	Pedobacter	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Photobacterium	Porphyrobacter	Porphyromonas	Propionibacterium	Proteiniphilum	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Psychrobacter	Rheinheimera	Rhodopseudomonas	Riemerella	Rikenella	Risungbinella	Roseburia	Ruminiclostridium	Runella	Salmonella	Sanguibacter	Sanguibacteroides	Scardovia	Selenomonas	Senegalimassilia	Serratia	Shuttleworthia	Simonsiella	Sinorhizobium	Slackia	Sneathia	Solobacterium	Sphingobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Staphylococcus	Stenotrophomonas	Stomatobaculum	Streptobacillus	Streptomyces	Subdoligranulum	Tannerella	Tepidiphilus	Terrisporobacter	Thauera	Thermus	Trueperella	Turicibacter	Tyzzerella	Ureaplasma	Varibaculum	Vibrio	Xanthomonas	Xenorhabdus	Xylanimonas
Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3459693496866558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetivibrio	0.0	0.0	0.18469758787064056	0.1495214792870084	0.0	0.0	0.0	0.0	0.6116353380102075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2647282875459019	0.0	0.586294379114233	0.8805904151032525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5221411732407099	0.5031563506173282	0.689662740155249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7683893428626887	0.0	0.0	0.0	0.0	0.0	0.0	0.42461368893501056	0.0	0.0	0.10907537784339802	0.0	0.0	0.0	0.0	0.0	0.6549040561356188	0.0	0.0	0.6541603325486124	0.06547436141954821	0.8115197127299321	0.0	0.0	0.0	0.0	0.0	0.0	0.2647282875459019	0.2772207374378985	0.0	0.04809890447963735	0.7751905867120115	0.14952147928700835	0.0	0.45354848717059254	0.0	0.0	0.0	0.0	0.0	0.6092445667726116	0.1048428861567929	0.5455911466537932	0.0	0.0	0.0	0.0	0.4246136889350104	0.7584437780052289	0.0	0.0	0.0	0.0	0.5344215839414463	0.0	0.0	0.5327554018677719	0.0	0.0	0.1048428861567929	0.0	0.0	0.0	0.6867394831040284	0.8641598928946697	0.43582344393661854	0.6719134648402882	0.0	0.0	0.0	0.10484288615679252	0.0	0.0	0.0	0.0	0.7213739830849336	0.776596219219958	0.28543594004577927	0.0	0.0	0.0	0.0	0.0	0.42109121998857574	0.01555455417890549	0.0	0.0	0.8347646013702678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1444495686587376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6849795384684444	0.0	0.0	0.21989097649534017	0.0	0.0	0.0	0.0	0.0	0.6366774965402705	0.0	0.0	0.0	0.0	0.0	0.0	0.2674995659708111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14952147928700835	0.0	0.0	0.0	0.11952798528515926	0.11289822160526986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8364037410818209	0.0	0.0	0.42461368893501045	0.0	0.0	0.0	0.42461368893501045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acholeplasma	0.0	0.18469758787064056	0.0	0.8095475474846539	0.0	0.0	0.0	0.0	0.10443339189097486	0.0	0.0	0.0	0.221657131693866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06928572379449599	0.3088361395624583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33901573811826136	0.5991231091210307	0.14489772092667813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16217050401478716	0.85674320748568	0.5672806839331465	0.0	0.0	0.0	0.0	0.0	0.5708957853923736	0.0	0.11037742490183215	0.0	0.024769701283519102	0.0	0.0	0.0	0.0	0.0	0.0	0.21889012235007727	0.2397777485511642	0.14483650819603244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36837333280570983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2545625973851244	0.0	0.07932281897457215	0.0	0.0	0.0	0.0	0.0	0.17392827151562426	0.0	0.0	0.0	0.0	0.14282819546911932	0.0	0.0	0.20790185202789416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1686410498400404	0.03847567060228259	0.1869379771463776	0.0	0.0	0.0	0.567646212197546	0.0	0.0	0.0	0.0	0.19667551277255102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20840310818416563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9529881704575056	0.0	0.0	0.0	0.0	0.09753319032779878	0.0	0.0	0.0	0.09087337203923888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18884522934359613	0.0	0.0	0.0	0.0	0.0	0.31087584723853473	0.0	0.0	0.0	0.0	0.0	0.0	0.9471395148143491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8095475474846539	0.0	0.0	0.0	0.055304108688729384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1916722573410515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus	0.0	0.1495214792870084	0.8095475474846539	0.0	0.0	0.0	0.0	0.0	0.14900844094498486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11127549671200956	0.16713128989653386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4283612023322119	0.7564510955702097	0.14337140893141728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9767637639144883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17720196171712108	0.19411148828098695	0.15096074558226172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20484445685987437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20608052639445082	0.0	0.09312445855811992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1156262153536845	0.0	0.0	0.2763768817954214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2118204152697679	0.031147884773905277	0.15718898310989865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11583198728618266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8627626554067296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11466105212745155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2542447436652243	0.0	0.0	0.0	0.0	0.0	0.29238972283932757	0.0	0.0	0.0	0.0	0.0	0.0	0.7667544713437615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20091261806838856	0.4736649111434239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47366491114342457	0.0	0.0	0.0	0.0	0.4736649111434244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11226708914596101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20014900047497405	0.0	0.47366491114342507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20091261806838856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45548142493842075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6918667456034537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4736649111434237	0.0	0.0	0.47366491114342496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7637206570044229	0.0	0.0	0.0	0.0	0.0	0.6890219728162962	0.0	0.0	0.0	0.0	0.4736649111434237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47366491114342457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45131010987310705	0.4157443733082802	0.4277747365933361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47366491114342457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4723665041943919	0.0	0.0
Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9961686862975269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9961686862975285	0.0	0.0	0.0	0.0	0.9961686862975283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9961686862975294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04488274340706678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9961686862975263	0.0	0.0	0.9961686862975292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9961686862975263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9961686862975285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9321016031070858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9961686862975285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030222273495957033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8267860474699109	0.0	0.0	0.0	0.9888727887877163	0.0	0.9365410837936343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20159370831500678	0.3740337022137377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9888727887877163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9888727887877163	0.0	0.0	0.0	0.0	0.0	0.0	0.2005309544743727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9055568441489104	0.0	0.0	0.0	0.0	0.0	0.0	0.38831321096037247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9888727887877163	0.8954117408767936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021191539801809513	0.16262012869091197	0.0	0.0	0.8267860474699109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8161706081612876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.693387182315211	0.0	0.0	0.0	0.0	0.0	0.0	0.6235094100280469	0.0	0.0	0.0	0.0	0.021191539801809565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9888727887877165	0.0	0.0	0.0	0.0	0.0	0.0	0.07289889691822482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3055926238538563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1689185877470791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adlercreutzia	0.0	0.6116353380102075	0.10443339189097486	0.14900844094498486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.714709200593775	0.0	0.7650572968232194	0.5444238526704722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6938729447365959	0.19806545740665032	0.9196229194833692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25184949673809615	0.0	0.0	0.0	0.0	0.0	0.0	0.03668025446282204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7285937659635434	0.0	0.0	0.6111327858683806	0.10216402363046846	0.9448441453610085	0.0	0.0	0.0	0.0	0.0	0.0	0.714709200593775	0.710747081088403	0.0	0.0	0.8360326327069221	0.0	0.0	0.19735692444309175	0.0	0.0	0.0	0.0	0.0444579342957078	0.4377952730734005	0.0	0.21724164870673157	0.0	0.0	0.0	0.0	0.03668025446282203	0.35899407104482517	0.0	0.0	0.0	0.0	0.2644825721217376	0.0	0.0	0.8470381834430635	0.0	0.0	0.0	0.0	0.0	0.0	0.6498578360162053	0.4928465437153979	0.7717112411227505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5246914206219363	0.5921363648974205	0.42152361273975125	0.0	0.0	0.0	0.0	0.04534535616479083	0.02004865724995731	0.0	0.0	0.0	0.6812444773439871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.595016560857175	0.0	0.0	0.17647480858392672	0.0	0.0	0.0	0.0	0.0	0.6913346458183609	0.0	0.0	0.0	0.0	0.0	0.0	0.22373280083010874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1490084409449849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6742931527803293	0.0	0.0	0.6469063059806793	0.0	0.0	0.0	0.6469063059806793	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9998887648494588	0.0	0.0	0.0	0.9998887648494595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5099341108375368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9047771601954474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9998887648494595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
