TAXA	Acholeplasmatales	Acidaminococcales	Actinomycetales	Alteromonadales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chlamydiales	Chromatiales	Chroococcales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Desulfovibrionales	Eggerthellales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Geodermatophilales	Hydrogenophilales	Lactobacillales	Micrococcales	Mycoplasmatales	Neisseriales	Nostocales	Oceanospirillales	Pasteurellales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodocyclales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synergistales	Thermales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
Acholeplasmatales	0.0	0.7142712170781376	0.0	0.0	0.0	0.36195353766050714	0.0	0.0	0.0	0.0	0.0	0.0	0.01458960365108028	0.0	0.0	0.1630815684172743	0.0	0.0	0.0	0.49920658647234	0.08612474884106741	0.0	0.19467726039356045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2195961815844626	0.0	0.0
Acidaminococcales	0.7142712170781376	0.0	0.0	0.0	0.0	0.43942048571733916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1975028607936548	0.0	0.0	0.0	0.6158905573085423	0.19778561859289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03721733435481559	0.0	0.0
Actinomycetales	0.0	0.0	0.0	0.3423555001306196	0.0	0.0	0.0	0.19414051576797173	0.6699526532209922	0.5560566980043633	0.0	0.0	0.0	0.0	0.0	0.0	0.014278600554312217	0.5117282113206747	0.0	0.0	0.0	0.0	0.0	0.5376944978439121	0.38330894933567145	0.0	0.0	0.0	0.38956428306344953	0.3479344954104843	0.15841509169804693	0.0	0.0	0.0	0.0	0.09717117171768334	0.0	0.0	0.0	0.19681234939442926	0.5863277462915019	0.0	0.0	0.36952134866370046	0.0	0.10445160289887515	0.05472267517466765	0.0	0.0	0.1748028326303812	0.0	0.0	0.0
Alteromonadales	0.0	0.0	0.3423555001306196	0.0	0.14851963781444136	0.0	0.0	0.0	0.13794593261314883	0.11891195420398208	0.0	0.0	0.10093898773656809	0.0	0.0	0.0	0.0	0.0	0.027931672169117107	0.0	0.0	0.0	0.0	0.24409817218626437	0.1939758685547339	0.0	0.0	0.0	0.1469024083175021	0.08046976333430184	0.37625244088190596	0.0	0.0	0.542156525723657	0.0	0.0	0.0	0.0	0.0	0.0	0.03663542399949037	0.0	0.0	0.2066791515123131	0.0	0.0	0.0	0.47389478915307875	0.0	0.047851291759818254	0.0	0.0	0.0
Bacillales	0.0	0.0	0.0	0.14851963781444136	0.0	0.0	0.0	0.0	0.041163765670440944	0.0	0.0	0.06906350958886275	0.32316976156081834	0.0	0.36063557226370446	0.0	0.0	0.0	0.057044819515118625	0.0	0.0	0.0	0.0	0.05366746155906281	0.14567417717265707	0.0	0.0	0.0	0.16090648258349324	0.0	0.2905282784985497	0.0	0.45048181150330435	0.5330049835387491	0.0	0.12494267907412974	0.14913981225261383	0.14161436122456167	0.054047738901273665	0.02440099129640461	0.0	0.08450052084425536	0.13004794587815208	0.0	0.36063557226370485	0.0	0.16844440982451336	0.17619353398719032	0.025160526007650008	0.33571748011990876	0.0	0.013761672714657778	0.05666035328533637
Bacteroidales	0.36195353766050714	0.43942048571733916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19335970924770912	0.0	0.0	0.0	0.5124031739317891	0.3398195216001208	0.13594879223214068	0.220488302285259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05301213890393995	0.3516435665001552	0.0	0.0
Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.697625667556706	0.0	0.0	0.0	0.9466989322694019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderiales	0.0	0.0	0.19414051576797173	0.0	0.0	0.0	0.0	0.0	0.20078530072493228	0.2964989250751126	0.0	0.6068348978131859	0.0	0.0	0.0	0.0	0.0	0.3058813387138483	0.0	0.0	0.0	0.0	0.0	0.42232944063613276	0.19758827588701633	0.0	0.0	0.0	0.23030348064900838	0.018226691344551727	0.0	0.0	0.0	0.07747590414018543	0.0	0.02036645060859283	0.0	0.0	0.0	0.0	0.14720079376667455	0.0	0.26632802395865085	0.03266988148386231	0.0	0.0	0.1592289643706796	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacterales	0.0	0.0	0.6699526532209922	0.13794593261314883	0.041163765670440944	0.0	0.0	0.20078530072493228	0.0	0.5305953871552566	0.0	0.0	0.0	0.0	0.0	0.0	0.08368351738227586	0.33235753111724864	0.0	0.0	0.0	0.0	0.282978508254342	0.45420219477532225	0.5070239102478414	0.0	0.0	0.0	0.12450086045347385	0.34517831280673344	0.18728047558424363	0.0	0.025752808214851586	0.019321193625929357	0.0	0.0	0.0	0.0	0.0	0.0	0.7048333970133092	0.0	0.0	0.4807183729421644	0.0	0.14713362531308485	0.2276848304342086	0.0	0.0	0.4169971205175203	0.0	0.0	0.0
Cardiobacteriales	0.0	0.0	0.5560566980043633	0.11891195420398208	0.0	0.0	0.0	0.2964989250751126	0.5305953871552566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5728172812898729	0.0	0.0	0.0	0.0	0.0	0.727974903116968	0.2606485329909207	0.0	0.0	0.0	0.08350500195119882	0.37743165088148267	0.0	0.0	0.0	0.0	0.0	0.0639478682312104	0.0	0.0	0.0	0.04751741357828657	0.605218584231754	0.0	0.0	0.5879298278536234	0.0	0.418777424952005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caulobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37427225614145293	0.0	0.0	0.0	0.20018966068554084	0.0	0.0	0.0	0.0	0.0	0.04142222068333024	0.0	0.0	0.0	0.0	0.21738593057704184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellvibrionales	0.0	0.0	0.0	0.0	0.06906350958886275	0.0	0.0	0.6068348978131859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16820557570299707	0.0	0.0	0.0	0.30059977768353735	0.0	0.017194275698767483	0.0	0.0	0.1959552134620455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4714250513451974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlamydiales	0.01458960365108028	0.0	0.0	0.10093898773656809	0.32316976156081834	0.0	0.697625667556706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6504389321625328	0.0	0.043318381892082675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1780560637069748	0.0	0.4801162497856349	0.36425752127525646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37204580241691265	0.0	0.15072917244206774	0.0	0.0	0.0
Chromatiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010947373799108685	0.0	0.0	0.980850907069517	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000002	1.000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000002	0.8928345595817682	0.06892783769966944	0.691208153465914	0.0	0.0	0.0	0.0	0.7077186267934858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119221	0.9884647378532219
Chroococcales	0.0	0.0	0.0	0.0	0.36063557226370446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21759874884397193	0.0	0.0	0.0	0.06856594629670548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32714151654143675	0.5186539531456198	0.333282029854534	0.014935634361887001	0.0	0.0	0.0	0.022467257993444022	0.0	1.0000000000000024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12432584145177325
Clostridiales	0.1630815684172743	0.1975028607936548	0.0	0.0	0.0	0.19335970924770912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010947373799108685	0.0	0.0	0.0	0.0	0.0	0.2997771320113895	0.5222076805777371	0.0	0.1814076983116518	0.0	0.0	0.010947373799108706	0.010947373799108685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010947373799108706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018354358626896827	0.1155277381359993	0.0	0.0
Coriobacteriales	0.0	0.0	0.014278600554312217	0.0	0.0	0.0	0.9466989322694019	0.0	0.08368351738227586	0.0	0.0	0.0	0.6504389321625328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030650152258299507	0.0	0.03933167069178445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03598581664811653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1088379523184869	0.0	0.0	0.0
