	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Alloprevotella	Actinomyces	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
1	Actinomyces	Alloprevotella	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
2	Bacteroides	Alistipes	0.00134372480516	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
3	Alistipes	Bacteroides	0.00134372480516	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
4	Butyrivibrio	Alistipes	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
5	Alistipes	Butyrivibrio	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
6	Butyrivibrio	Bacteroides	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
7	Bacteroides	Butyrivibrio	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
8	Capnocytophaga	Actinomyces	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
9	Actinomyces	Capnocytophaga	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
10	Corynebacterium	Actinomyces	0.000806234883096	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
11	Actinomyces	Corynebacterium	0.000806234883096	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
12	Corynebacterium	Alloprevotella	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
13	Alloprevotella	Corynebacterium	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
14	Faecalibacterium	Alistipes	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
15	Alistipes	Faecalibacterium	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
16	Faecalibacterium	Bacteroides	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
17	Bacteroides	Faecalibacterium	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
18	Faecalibacterium	Butyrivibrio	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
19	Butyrivibrio	Faecalibacterium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
20	Faecalibacterium	Clostridium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
21	Clostridium	Faecalibacterium	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
22	Gemella	Capnocytophaga	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
23	Capnocytophaga	Gemella	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
24	Haemophilus	Capnocytophaga	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
25	Capnocytophaga	Haemophilus	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
26	Haemophilus	Gemella	0.000537489922064	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
27	Gemella	Haemophilus	0.000537489922064	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
28	Lautropia	Capnocytophaga	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
29	Capnocytophaga	Lautropia	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
30	Lautropia	Haemophilus	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
31	Haemophilus	Lautropia	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
