	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Bacteroidales	Actinomycetales	0.000537489922064	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
1	Actinomycetales	Bacteroidales	0.000537489922064	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
2	Bacteroidales	Bacillales	0.00107497984413	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc
3	Bacillales	Bacteroidales	0.00107497984413	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc
4	Clostridiales	Bacteroidales	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
5	Bacteroidales	Clostridiales	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
6	Corynebacteriales	Actinomycetales	0.00107497984413	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
7	Actinomycetales	Corynebacteriales	0.00107497984413	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
8	Corynebacteriales	Bacillales	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
9	Bacillales	Corynebacteriales	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
10	Corynebacteriales	Bacteroidales	0.000268744961032	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
11	Bacteroidales	Corynebacteriales	0.000268744961032	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
12	Flavobacteriales	Actinomycetales	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
13	Actinomycetales	Flavobacteriales	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
14	Flavobacteriales	Bacillales	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
15	Bacillales	Flavobacteriales	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
16	Flavobacteriales	Bacteroidales	0.000806234883096	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
17	Bacteroidales	Flavobacteriales	0.000806234883096	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
18	Flavobacteriales	Burkholderiales	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
19	Burkholderiales	Flavobacteriales	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
20	Lactobacillales	Actinomycetales	0.000537489922064	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc
