	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	[Eubacterium] siraeum	[Eubacterium] rectale	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
1	[Eubacterium] rectale	[Eubacterium] siraeum	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
2	Bacteroides coprocola	Alistipes putredinis	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
3	Alistipes putredinis	Bacteroides coprocola	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
4	Bacteroides massiliensis	[Eubacterium] rectale	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
5	[Eubacterium] rectale	Bacteroides massiliensis	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
6	Bacteroides sp. D2	Bacteroides eggerthii	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
7	Bacteroides eggerthii	Bacteroides sp. D2	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
8	Bacteroides stercoris	[Eubacterium] rectale	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
9	[Eubacterium] rectale	Bacteroides stercoris	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
10	Bacteroides stercoris	Bacteroides massiliensis	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
11	Bacteroides massiliensis	Bacteroides stercoris	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
12	Bacteroides vulgatus	[Eubacterium] rectale	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
13	[Eubacterium] rectale	Bacteroides vulgatus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
14	Butyrivibrio crossotus	Bacteroides massiliensis	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
15	Bacteroides massiliensis	Butyrivibrio crossotus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
16	Clostridium sp. L2-50	[Eubacterium] rectale	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
17	[Eubacterium] rectale	Clostridium sp. L2-50	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
18	Clostridium sp. L2-50	[Eubacterium] siraeum	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
19	[Eubacterium] siraeum	Clostridium sp. L2-50	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
20	Faecalibacterium prausnitzii	[Eubacterium] rectale	0.000806234883096	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
21	[Eubacterium] rectale	Faecalibacterium prausnitzii	0.000806234883096	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
22	Faecalibacterium prausnitzii	[Eubacterium] siraeum	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
23	[Eubacterium] siraeum	Faecalibacterium prausnitzii	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
24	Faecalibacterium prausnitzii	Bacteroides massiliensis	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
25	Bacteroides massiliensis	Faecalibacterium prausnitzii	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
26	Faecalibacterium prausnitzii	Bacteroides stercoris	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
27	Bacteroides stercoris	Faecalibacterium prausnitzii	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
28	Faecalibacterium prausnitzii	Bacteroides vulgatus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
29	Bacteroides vulgatus	Faecalibacterium prausnitzii	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
30	Faecalibacterium prausnitzii	Butyrivibrio crossotus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
31	Butyrivibrio crossotus	Faecalibacterium prausnitzii	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
32	Faecalibacterium prausnitzii	Clostridium sp. L2-50	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
33	Clostridium sp. L2-50	Faecalibacterium prausnitzii	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
34	Lautropia mirabilis	Corynebacterium matruchotii	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
35	Corynebacterium matruchotii	Lautropia mirabilis	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
36	Moraxella caprae	Corynebacterium kroppenstedtii	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
37	Corynebacterium kroppenstedtii	Moraxella caprae	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
38	Moraxella catarrhalis	Corynebacterium kroppenstedtii	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
39	Corynebacterium kroppenstedtii	Moraxella catarrhalis	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
40	Moraxella catarrhalis	Moraxella caprae	0.000537489922064	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
41	Moraxella caprae	Moraxella catarrhalis	0.000537489922064	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
42	Parabacteroides merdae	Bacteroides eggerthii	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
43	Bacteroides eggerthii	Parabacteroides merdae	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
44	Parabacteroides merdae	Bacteroides sp. D2	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
45	Bacteroides sp. D2	Parabacteroides merdae	0.000537489922064	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
46	Prevotella aurantiaca	Haemophilus parainfluenzae	0.000268744961032	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
47	Haemophilus parainfluenzae	Prevotella aurantiaca	0.000268744961032	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
48	Prevotella copri	Bacteroides massiliensis	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
49	Bacteroides massiliensis	Prevotella copri	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
50	Prevotella copri	Butyrivibrio crossotus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
51	Butyrivibrio crossotus	Prevotella copri	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
52	Prevotella copri	Faecalibacterium prausnitzii	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
53	Faecalibacterium prausnitzii	Prevotella copri	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
54	Prevotella oris	Neisseria meningitidis	0.000268744961032	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029
55	Neisseria meningitidis	Prevotella oris	0.000268744961032	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029
56	Prevotella sp. oral taxon 473	Haemophilus paraphrohaemolyticus	0.000537489922064	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
57	Haemophilus paraphrohaemolyticus	Prevotella sp. oral taxon 473	0.000537489922064	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
58	Propionibacterium acnes	Corynebacterium kroppenstedtii	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
59	Corynebacterium kroppenstedtii	Propionibacterium acnes	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
60	Propionibacterium acnes	Moraxella caprae	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
61	Moraxella caprae	Propionibacterium acnes	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
62	Propionibacterium acnes	Moraxella catarrhalis	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
63	Moraxella catarrhalis	Propionibacterium acnes	0.000268744961032	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
64	Roseburia faecis	[Eubacterium] rectale	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
65	[Eubacterium] rectale	Roseburia faecis	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
66	Roseburia faecis	Bacteroides vulgatus	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
67	Bacteroides vulgatus	Roseburia faecis	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
68	Roseburia faecis	Faecalibacterium prausnitzii	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
69	Faecalibacterium prausnitzii	Roseburia faecis	0.000268744961032	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
70	Rothia dentocariosa	Corynebacterium matruchotii	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
71	Corynebacterium matruchotii	Rothia dentocariosa	0.000537489922064	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
