	TAXA	sample_type	sample_color	frequency
0	Acidaminococcus	Stool	#b2f396	2
1	Aggregatibacter	Mixed	#cccccc	31
2	Anaerotruncus	Stool	#b2f396	13
3	Arthrobacter	Anterior_nares	#8000ff	1
4	Atopobacter	Anterior_nares	#8000ff	1
5	Azohydromonas	Anterior_nares	#8000ff	1
7	Basfia	Buccal_mucosa	#1996f3	2
8	Bibersteinia	Buccal_mucosa	#1996f3	2
10	Blautia	Stool	#b2f396	19
11	Burkholderia	Posterior_fornix	#4df3ce	1
12	Capnocytophaga	Supragingival_plaque	#ff964f	34
13	Catonella	Subgingival_plaque	#e4cf74	25
15	Citrobacter	Throat	#ff5029	1
16	Clostridium	Stool	#b2f396	29
18	Coprobacillus	Stool	#b2f396	10
19	Coprococcus	Stool	#b2f396	18
23	Crocosphaera	Anterior_nares	#8000ff	1
24	Dehalobacter	Buccal_mucosa	#1996f3	2
27	Delftia	Anterior_nares	#8000ff	1
30	Desulfotomaculum	Stool	#b2f396	1
31	Dolosigranulum	Anterior_nares	#8000ff	5
32	Dorea	Stool	#b2f396	17
39	Echinicola	Buccal_mucosa	#1996f3	2
43	Eikenella	Subgingival_plaque	#e4cf74	18
45	Elizabethkingia	Buccal_mucosa	#1996f3	1
46	Facklamia	Posterior_fornix	#4df3ce	3
47	Faecalibacterium	Stool	#b2f396	29
52	Faecalicoccus	Stool	#b2f396	1
53	Fenollaria	Posterior_fornix	#4df3ce	1
54	Flavobacterium	Throat	#ff5029	1
56	Flavonifractor	Stool	#b2f396	15
62	Fusobacterium	Tongue_dorsum	#ff0000	29
66	Gemella	Buccal_mucosa	#1996f3	38
71	Gordonibacter	Stool	#b2f396	6
72	Gulbenkiania	Anterior_nares	#8000ff	1
74	Haemophilus	Buccal_mucosa	#1996f3	41
76	Hallella	Stool	#b2f396	1
77	Helicobacter	Anterior_nares	#8000ff	1
80	Holdemania	Stool	#b2f396	12
83	Hungatella	Stool	#b2f396	15
93	Intestinimonas	Stool	#b2f396	16
105	Janibacter	Throat	#ff5029	1
108	Lachnoclostridium	Stool	#b2f396	17
117	Lautropia	Supragingival_plaque	#ff964f	32
119	Leptotrichia	Supragingival_plaque	#ff964f	30
123	Mangrovimonas	Buccal_mucosa	#1996f3	2
128	Mannheimia	Buccal_mucosa	#1996f3	10
129	Marvinbryantia	Stool	#b2f396	5
130	Methylobacterium	Anterior_nares	#8000ff	2
131	Microbacterium	Anterior_nares	#8000ff	1
135	Micrococcus	Anterior_nares	#8000ff	2
137	Microvirga	Anterior_nares	#8000ff	1
141	Modestobacter	Anterior_nares	#8000ff	1
146	Necropsobacter	Buccal_mucosa	#1996f3	3
152	Neisseria	Throat	#ff5029	35
156	Nosocomiicoccus	Posterior_fornix	#4df3ce	1
158	Novosphingobium	Throat	#ff5029	1
162	Odoribacter	Stool	#b2f396	21
163	Oscillibacter	Stool	#b2f396	17
169	Parabacteroides	Stool	#b2f396	28
180	Pectobacterium	Saliva	#7effb5	1
181	Photobacterium	Anterior_nares	#8000ff	1
187	Pseudoflavonifractor	Stool	#b2f396	12
193	Rheinheimera	Anterior_nares	#8000ff	1
200	Rhodopseudomonas	Posterior_fornix	#4df3ce	1
202	Rikenella	Stool	#b2f396	6
203	Risungbinella	Anterior_nares	#8000ff	1
208	Roseburia	Stool	#b2f396	24
214	Rothia	Buccal_mucosa	#1996f3	39
222	Ruminiclostridium	Stool	#b2f396	19
225	Ruminococcus	Stool	#b2f396	28
232	Sanguibacter	Saliva	#7effb5	17
233	Selenomonas	Saliva	#7effb5	28
240	Senegalimassilia	Stool	#b2f396	2
242	Serratia	Saliva	#7effb5	2
243	Sneathia	Posterior_fornix	#4df3ce	3
248	Solobacterium	Tongue_dorsum	#ff0000	24
249	Sphingobacterium	Anterior_nares	#8000ff	3
250	Sphingobium	Mid_vagina	#18cde4	7
251	Stomatobaculum	Saliva	#7effb5	22
252	Streptobacillus	Buccal_mucosa	#1996f3	2
260	Streptomyces	Anterior_nares	#8000ff	1
266	Subdoligranulum	Stool	#b2f396	15
278	Tepidiphilus	Anterior_nares	#8000ff	1
286	Trueperella	Saliva	#7effb5	12
287	Turicibacter	Stool	#b2f396	1
288	Tyzzerella	Stool	#b2f396	15
306	Veillonella	Attached	#4e4dfc	45
310	Xenorhabdus	Saliva	#7effb5	1
312	Xylanimonas	Tongue_dorsum	#ff0000	12
314	Acholeplasma	Stool	#b2f396	3
315	Actinomyces	Supragingival_plaque	#ff964f	39
316	Acetivibrio	Stool	#b2f396	13
317	Aliterella	Anterior_nares	#8000ff	1
318	Amphibacillus	Anterior_nares	#8000ff	1
321	Avibacterium	Buccal_mucosa	#1996f3	3
324	Bacteroides	Stool	#b2f396	47
325	Brevibacterium	Posterior_fornix	#4df3ce	1
327	Alloprevotella	Attached	#4e4dfc	32
328	Carnobacterium	Saliva	#7effb5	22
329	Bradyrhizobium	Throat	#ff5029	1
332	Butyrivibrio	Stool	#b2f396	14
334	Akkermansia	Stool	#b2f396	21
337	Aureimonas	Anterior_nares	#8000ff	1
344	Anaerofustis	Stool	#b2f396	1
345	Calothrix	Anterior_nares	#8000ff	2
357	Actinobaculum	Supragingival_plaque	#ff964f	25
358	Cardiobacterium	Subgingival_plaque	#e4cf74	20
359	Alicycliphilus	Buccal_mucosa	#1996f3	1
366	Catabacter	Stool	#b2f396	1
367	Bosea	Posterior_fornix	#4df3ce	1
385	Adlercreutzia	Stool	#b2f396	6
390	Enterorhabdus	Stool	#b2f396	1
396	Butyricicoccus	Stool	#b2f396	10
401	Butyricimonas	Stool	#b2f396	11
403	Collinsella	Stool	#b2f396	11
431	Abiotrophia	Buccal_mucosa	#1996f3	29
442	Actinobacillus	Buccal_mucosa	#1996f3	10
443	Faecalitalea	Stool	#b2f396	4
444	Exiguobacterium	Anterior_nares	#8000ff	2
476	Alistipes	Stool	#b2f396	29
494	Mitsuokella	Saliva	#7effb5	1
516	Desulfovibrio	Stool	#b2f396	4
535	Porphyromonas	Tongue_dorsum	#ff0000	43
556	Leuconostoc	Saliva	#7effb5	3
563	Dysgonomonas	Stool	#b2f396	2
564	Mycobacterium	Mid_vagina	#18cde4	10
600	Isoptericola	Tongue_dorsum	#ff0000	11
601	Terrisporobacter	Stool	#b2f396	1
